service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20080113,20080604
2,0,0,0,0,1,0,0,20080113,20080604
4,0,0,0,0,0,1,0,20080113,20080604
5,0,0,0,0,0,0,1,20080113,20080604
6,0,1,0,0,0,0,0,20080113,20080604
7,1,0,0,0,0,0,0,20080113,20080604
8,0,0,1,0,0,0,0,20080113,20080604
10,0,0,0,1,0,0,0,20080113,20080604
12,1,1,1,1,1,0,0,20080113,20080604
14,1,1,1,1,1,0,0,20080113,20080604
15,0,0,0,0,0,0,0,20080113,20080604
17,1,1,1,1,1,1,1,20080113,20080604
19,1,1,1,1,1,0,0,20080113,20080604
22,0,0,0,0,0,0,0,20080113,20080604
21,0,0,0,0,0,0,0,20080113,20080604
26,0,1,1,1,0,0,0,20080113,20080604
28,1,0,0,0,0,0,0,20080121,20080121
29,0,0,0,0,0,0,0,20080113,20080604
30,0,0,0,0,1,1,0,20080113,20080604
31,0,0,0,1,1,0,0,20080113,20080604
32,0,0,0,0,0,1,1,20080113,20080604
