stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
66,CRAIGWOOD/ FM 969,Southeast corner of CRAIGWOOD and FM 969 (WEBBERVILLE ) - Nearside,30.28416,-97.65985,,
133,WACKENHUT CORRECTIONAL FACILITY,Southeast corner of WACKENHUT CORRECTIONAL FACILIT and FM 969 (WEBBERVILLE ) - Nearside,30.27104,-97.64667,,
136,H.E.B./MANOR RD.,Southeast corner of ED BLUESTEIN and MANOR - Mid-Block,30.312973,-97.663766,,
243,RIO GRANDE/15TH,Northeast corner of 15TH and RIO GRANDE - Nearside,30.27894,-97.74599,,
252,2ND/TRINITY,Northeast corner of TRINITY and 2ND - Mid-Block,30.263895,-97.740431,,
257,M.L.KING/LAVACA,Southeast corner of LAVACA and MARTIN LUTHER KING - Nearside,30.28122,-97.74041,,
460,MEARNS MEADOW/RUTLAND,Southeast corner of MEARNS MEADOW and RUTLAND - Nearside,30.36673,-97.70066,,
461,RUTLAND/PARKVILLAGE,Southeast corner of RUTLAND and PARKFIELD - Farside,30.36626,-97.69925,,
462,800 RUTLAND,Southeast corner of RUTLAND and PARK VILLAGE - Mid-Block,30.36547,-97.69752,,
465,LAMAR/PEYTON GIN,Northwest corner of LAMAR and PEYTON GIN - Nearside,30.35783,-97.70014,,
466,8740 LAMAR,Southwest corner of LAMAR and PAYTON GIN - Mid-Block,30.35687,-97.70105,,
467,LAMAR/FAIRFIELD,Southwest corner of LAMAR and FAIRFIELD - Farside,30.35536,-97.7031,,
468,LAMAR/THURMOND,Southwest corner of LAMAR and THURMOND - Farside,30.35319,-97.70606,,
469,8300 LAMAR,Northwest corner of LAMAR and MEADOWLARK - Nearside,30.35231,-97.70727,,
471,NORTH LAMAR/HWY 183,Southwest corner of LAMAR and STOBAUGH - Mid-Block,30.34604,-97.71394,,
472,LAMAR/MORROW,Southwest corner of LAMAR and MORROW - Farside,30.34362,-97.71537,,
474,LAMAR/JUSTIN,Southwest corner of LAMAR and JUSTIN - Farside,30.33589,-97.72021,,
475,LAMAR/BRENTWOOD,Northwest corner of LAMAR and BRENTWOOD - Nearside,30.33418,-97.7213,,
476,LAMAR/DENSON,Northwest corner of LAMAR and DENSON - Nearside,30.33059,-97.72353,,
478,LAMAR/OLD KOENING,Northwest corner of LAMAR and OLD KOENIG - Nearside,30.32799,-97.72519,,
479,N. LAMAR/KOENIG,Northwest corner of LAMAR and KOENIG - Nearside,30.3262,-97.72632,,
480,5540 LAMAR,Southwest corner of LAMAR and KOENIG - Mid-Block,30.3243,-97.72752,,
481,LAMAR/HOUSTON,Northwest corner of LAMAR and HOUSTON - Nearside,30.3234,-97.72809,,
482,LAMAR/NORTHLOOP,Northwest corner of LAMAR and NORTH LOOP - Nearside,30.32137,-97.72936,,
483,LAMAR/51ST STREET,Northwest corner of LAMAR and 51ST - Nearside,30.31895,-97.73089,,
484,GUADALUPE/LAMAR,Southwest corner of GUADALUPE and LAMAR - Mid-Block,30.315129,-97.732477,,
485,GUADALUPE/45TH,Northwest corner of GUADALUPE and 45TH - Nearside,30.31121,-97.73298,,
486,GUADALUPE/43RD STREET,Northwest corner of GUADALUPE and 43RD - Nearside,30.3089,-97.73437,,
487,GUADALUPE/41ST STREET,Northwest corner of GUADALUPE and 41ST - Nearside,30.30679,-97.73573,,
489,GUADALUPE/MAIDEN,Northwest corner of GUADALUPE and MAIDEN - Nearside,30.3017,-97.73894,,
490,GUADALUPE/34TH STREET,Northwest corner of GUADALUPE and 34TH - Nearside,30.30054,-97.73969,,
492,GUADALUPE/30TH STREET,Northwest corner of GUADALUPE and 30TH - Nearside,30.29689,-97.74199,,
493,GUADALUPE/29TH STREET,Northwest corner of GUADALUPE and 29TH - Nearside,30.29571,-97.74272,,
494,GUADALUPE/27TH STREET,Northwest corner of GUADALUPE and 27TH - Nearside,30.29226,-97.7413,,
495,GUADALUPE/26TH STREET,Northwest corner of GUADALUPE and 26TH - Nearside,30.29073,-97.74139,,
497,GUADALUPE/UT COOP,Southwest corner of GUADALUPE and 23RD - Mid-Block,30.28613,-97.74179,,
