route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1070,1,783217,NORTHBOUND,0,003-02,21678
1070,1,783218,NORTHBOUND,0,003-07,21678
1070,1,783219,NORTHBOUND,0,003-12,21678
1070,1,783220,NORTHBOUND,0,003-08,21678
1070,1,783221,NORTHBOUND,0,003-05,21678
1070,1,783222,NORTHBOUND,0,003-10,21679
1070,1,783223,NORTHBOUND,0,003-04,21678
1070,1,783224,NORTHBOUND,0,003-33,21679
1070,1,783225,NORTHBOUND,0,003-09,21678
1070,1,783226,NORTHBOUND,0,003-32,21678
1070,1,783227,NORTHBOUND,0,003-16,21678
1070,1,783228,NORTHBOUND,0,003-03,21678
1070,1,783229,NORTHBOUND,0,003-06,21678
1070,1,783230,NORTHBOUND,0,003-02,21678
1070,1,783231,NORTHBOUND,0,003-05,21678
1070,1,783232,NORTHBOUND,0,003-08,21678
1070,1,783233,NORTHBOUND,0,003-11,21678
1070,1,783234,NORTHBOUND,0,003-14,21678
1070,1,783235,NORTHBOUND,0,003-15,21678
1070,1,783236,NORTHBOUND,0,003-09,21678
1070,1,783237,NORTHBOUND,0,003-07,21678
1070,1,783238,NORTHBOUND,0,003-04,21678
1070,1,783239,NORTHBOUND,0,003-10,21678
1070,1,783240,NORTHBOUND,0,003-70,21678
1070,1,783241,NORTHBOUND,0,003-01,21678
1070,1,783242,NORTHBOUND,0,003-06,21678
1070,1,783243,NORTHBOUND,0,003-16,21678
1070,1,783244,NORTHBOUND,0,003-07,21678
1070,1,783245,NORTHBOUND,0,003-13,21678
1070,1,783246,NORTHBOUND,0,003-04,21678
1070,1,783247,NORTHBOUND,0,003-14,21678
1070,1,783248,NORTHBOUND,0,003-15,22204
1070,1,783249,NORTHBOUND,0,003-91,22204
1070,1,783250,NORTHBOUND,0,003-12,21678
1070,1,783251,NORTHBOUND,0,003-13,21678
1070,1,783252,NORTHBOUND,0,003-90,21679
1070,1,783253,NORTHBOUND,0,003-01,21679
1070,1,783254,NORTHBOUND,0,003-06,21679
1070,1,783255,NORTHBOUND,0,003-03,21678
1070,1,783256,NORTHBOUND,0,003-01,21678
1070,1,783257,NORTHBOUND,0,003-13,21679
1070,1,783258,NORTHBOUND,0,003-02,21678
1070,1,783259,NORTHBOUND,0,003-08,21678
1070,1,783260,NORTHBOUND,0,003-11,21678
1070,1,783261,NORTHBOUND,0,003-92,21678
1070,1,783262,NORTHBOUND,0,003-16,21678
1070,1,783263,NORTHBOUND,0,003-12,21678
1070,4,783316,NORTHBOUND,0,003-04,21678
1070,4,783317,NORTHBOUND,0,003-10,21678
1070,4,783318,NORTHBOUND,0,003-08,21678
1070,4,783319,NORTHBOUND,0,003-01,21678
1070,4,783320,NORTHBOUND,0,003-12,21678
1070,4,783321,NORTHBOUND,0,003-05,21678
1070,4,783322,NORTHBOUND,0,003-09,21678
1070,4,783323,NORTHBOUND,0,003-03,21678
1070,4,783324,NORTHBOUND,0,003-07,21678
1070,4,783325,NORTHBOUND,0,003-01,21678
1070,4,783326,NORTHBOUND,0,003-02,21678
1070,4,783327,NORTHBOUND,0,003-06,21678
1070,4,783328,NORTHBOUND,0,003-10,21678
1070,4,783329,NORTHBOUND,0,003-04,21678
1070,4,783330,NORTHBOUND,0,003-08,21678
1070,4,783331,NORTHBOUND,0,003-11,21678
1070,4,783332,NORTHBOUND,0,003-03,21678
1070,4,783333,NORTHBOUND,0,003-07,21678
1070,4,783334,NORTHBOUND,0,003-09,21678
1070,4,783335,NORTHBOUND,0,003-05,21678
1070,4,783336,NORTHBOUND,0,003-05,21678
1070,4,783337,NORTHBOUND,0,003-09,21678
1070,4,783338,NORTHBOUND,0,003-07,21678
1070,4,783339,NORTHBOUND,0,003-12,21678
1070,4,783340,NORTHBOUND,0,003-06,21678
1070,4,783341,NORTHBOUND,0,003-10,21678
1070,4,783342,NORTHBOUND,0,003-08,21678
1070,4,783343,NORTHBOUND,0,003-01,21678
1070,4,783344,NORTHBOUND,0,003-02,21678
1070,4,783345,NORTHBOUND,0,003-06,21678
1070,4,783346,NORTHBOUND,0,003-11,21678
1070,4,783347,NORTHBOUND,0,003-11,21677
1070,5,783380,NORTHBOUND,0,003-01,21678
1070,5,783381,NORTHBOUND,0,003-04,21678
1070,5,783382,NORTHBOUND,0,003-07,21678
1070,5,783383,NORTHBOUND,0,003-11,21678
1070,5,783384,NORTHBOUND,0,003-09,21676
1070,5,783385,NORTHBOUND,0,003-03,21678
1070,5,783386,NORTHBOUND,0,003-11,21678
1070,5,783387,NORTHBOUND,0,003-08,21678
1070,5,783388,NORTHBOUND,0,003-08,21678
1070,5,783389,NORTHBOUND,0,003-03,21678
1070,5,783390,NORTHBOUND,0,003-06,21678
1070,5,783391,NORTHBOUND,0,003-10,21678
1070,5,783392,NORTHBOUND,0,003-05,21677
1070,5,783393,NORTHBOUND,0,003-09,21678
1070,5,783394,NORTHBOUND,0,003-06,21678
1070,5,783395,NORTHBOUND,0,003-10,21678
1070,5,783396,NORTHBOUND,0,003-02,21678
1070,5,783397,NORTHBOUND,0,003-05,21678
1070,5,783398,NORTHBOUND,0,003-01,21678
1070,5,783399,NORTHBOUND,0,003-04,21678
1070,5,783400,NORTHBOUND,0,003-08,21678
1070,5,783401,NORTHBOUND,0,003-03,21678
1070,5,783402,NORTHBOUND,0,003-09,21678
1070,5,783403,NORTHBOUND,0,003-06,21678
1070,5,783404,NORTHBOUND,0,003-10,21678
1070,5,783405,NORTHBOUND,0,003-02,21678
1070,5,783406,NORTHBOUND,0,003-05,21678
1070,5,783407,NORTHBOUND,0,003-07,21678
1070,5,783408,NORTHBOUND,0,003-01,21677
1070,21,801933,NORTHBOUND,0,003-04,21678
1070,21,801934,NORTHBOUND,0,003-10,21678
1070,21,801935,NORTHBOUND,0,003-08,21678
1070,21,801936,NORTHBOUND,0,003-01,21678
1070,21,801937,NORTHBOUND,0,003-12,21678
1070,21,801938,NORTHBOUND,0,003-05,21678
1070,21,801939,NORTHBOUND,0,003-09,21678
1070,21,801940,NORTHBOUND,0,003-03,21678
1070,21,801941,NORTHBOUND,0,003-07,21678
1070,21,801942,NORTHBOUND,0,003-01,21678
1070,21,801943,NORTHBOUND,0,003-02,21678
1070,21,801944,NORTHBOUND,0,003-06,21678
1070,21,801945,NORTHBOUND,0,003-10,21678
1070,21,801946,NORTHBOUND,0,003-04,21678
1070,21,801947,NORTHBOUND,0,003-08,21678
1070,21,801948,NORTHBOUND,0,003-11,21678
1070,21,801949,NORTHBOUND,0,003-03,21678
1070,21,801950,NORTHBOUND,0,003-07,21678
1070,21,801951,NORTHBOUND,0,003-09,21678
1070,21,801952,NORTHBOUND,0,003-05,21678
1070,21,801953,NORTHBOUND,0,003-05,21678
1070,21,801954,NORTHBOUND,0,003-09,21678
1070,21,801955,NORTHBOUND,0,003-07,21678
1070,21,801956,NORTHBOUND,0,003-12,21678
1070,21,801957,NORTHBOUND,0,003-06,21678
1070,21,801958,NORTHBOUND,0,003-10,21678
1070,21,801959,NORTHBOUND,0,003-08,21678
1070,21,801960,NORTHBOUND,0,003-01,21678
1070,21,801961,NORTHBOUND,0,003-02,21678
1070,21,801962,NORTHBOUND,0,003-06,21678
1070,21,801963,NORTHBOUND,0,003-11,21678
1070,21,801964,NORTHBOUND,0,003-11,21677
1070,22,803969,NORTHBOUND,0,003-01,21678
1070,22,803970,NORTHBOUND,0,003-04,21678
1070,22,803971,NORTHBOUND,0,003-07,21678
1070,22,803972,NORTHBOUND,0,003-11,21678
1070,22,803973,NORTHBOUND,0,003-09,21676
1070,22,803974,NORTHBOUND,0,003-03,21678
1070,22,803975,NORTHBOUND,0,003-11,21678
1070,22,803976,NORTHBOUND,0,003-08,21678
1070,22,803977,NORTHBOUND,0,003-08,21678
1070,22,803978,NORTHBOUND,0,003-03,21678
1070,22,803979,NORTHBOUND,0,003-06,21678
1070,22,803980,NORTHBOUND,0,003-10,21678
1070,22,803981,NORTHBOUND,0,003-05,21677
1070,22,803982,NORTHBOUND,0,003-09,21678
1070,22,803983,NORTHBOUND,0,003-06,21678
1070,22,803984,NORTHBOUND,0,003-10,21678
1070,22,803985,NORTHBOUND,0,003-02,21678
1070,22,803986,NORTHBOUND,0,003-05,21678
1070,22,803987,NORTHBOUND,0,003-01,21678
1070,22,803988,NORTHBOUND,0,003-04,21678
1070,22,803989,NORTHBOUND,0,003-08,21678
1070,22,803990,NORTHBOUND,0,003-03,21678
1070,22,803991,NORTHBOUND,0,003-09,21678
1070,22,803992,NORTHBOUND,0,003-06,21678
1070,22,803993,NORTHBOUND,0,003-10,21678
1070,22,803994,NORTHBOUND,0,003-02,21678
1070,22,803995,NORTHBOUND,0,003-05,21678
1070,22,803996,NORTHBOUND,0,003-07,21678
1070,22,803997,NORTHBOUND,0,003-01,21677
1140,1,783264,SOUTHBOUND,1,003-06,21681
1140,1,783265,SOUTHBOUND,1,003-15,21681
1140,1,783266,SOUTHBOUND,1,003-01,21681
1140,1,783267,SOUTHBOUND,1,003-13,21681
1140,1,783268,SOUTHBOUND,1,003-11,22203
1140,1,783269,SOUTHBOUND,1,003-12,21681
1140,1,783270,SOUTHBOUND,1,003-91,21681
1140,1,783271,SOUTHBOUND,1,003-11,21681
1140,1,783272,SOUTHBOUND,1,003-32,21681
1140,1,783273,SOUTHBOUND,1,003-03,21682
1140,1,783274,SOUTHBOUND,1,003-31,21681
1140,1,783275,SOUTHBOUND,1,003-14,21681
1140,1,783276,SOUTHBOUND,1,003-09,21681
1140,1,783277,SOUTHBOUND,1,003-08,21681
1140,1,783278,SOUTHBOUND,1,003-05,21681
1140,1,783279,SOUTHBOUND,1,003-08,21681
1140,1,783280,SOUTHBOUND,1,003-11,21681
1140,1,783281,SOUTHBOUND,1,003-12,21681
1140,1,783282,SOUTHBOUND,1,003-14,21681
1140,1,783283,SOUTHBOUND,1,003-04,21682
1140,1,783284,SOUTHBOUND,1,003-15,21681
1140,1,783285,SOUTHBOUND,1,003-16,21682
1140,1,783286,SOUTHBOUND,1,003-70,21682
1140,1,783287,SOUTHBOUND,1,003-09,21681
1140,1,783288,SOUTHBOUND,1,003-13,21682
1140,1,783289,SOUTHBOUND,1,003-10,21682
1140,1,783290,SOUTHBOUND,1,003-12,21681
1140,1,783291,SOUTHBOUND,1,003-01,21681
1140,1,783292,SOUTHBOUND,1,003-02,21681
1140,1,783293,SOUTHBOUND,1,003-05,21681
1140,1,783294,SOUTHBOUND,1,003-04,21681
1140,1,783295,SOUTHBOUND,1,003-07,21681
1140,1,783296,SOUTHBOUND,1,003-10,21681
1140,1,783297,SOUTHBOUND,1,003-33,21681
1140,1,783298,SOUTHBOUND,1,003-13,21681
1140,1,783299,SOUTHBOUND,1,003-16,21681
1140,1,783300,SOUTHBOUND,1,003-03,21681
1140,1,783301,SOUTHBOUND,1,003-06,21681
1140,1,783302,SOUTHBOUND,1,003-01,21681
1140,1,783303,SOUTHBOUND,1,003-02,21681
1140,1,783304,SOUTHBOUND,1,003-08,22203
1140,1,783305,SOUTHBOUND,1,003-16,21681
1140,1,783306,SOUTHBOUND,1,003-07,21681
1140,1,783307,SOUTHBOUND,1,003-02,22203
1140,1,783308,SOUTHBOUND,1,003-07,21682
1140,1,783309,SOUTHBOUND,1,003-90,21681
1140,1,783310,SOUTHBOUND,1,003-14,21681
1140,1,783311,SOUTHBOUND,1,003-06,21681
1140,1,783312,SOUTHBOUND,1,003-01,21681
1140,1,783313,SOUTHBOUND,1,003-05,22203
1140,1,783314,SOUTHBOUND,1,003-92,21681
1140,1,783315,SOUTHBOUND,1,003-04,21681
1140,4,783348,SOUTHBOUND,1,003-11,21681
1140,4,783349,SOUTHBOUND,1,003-09,21681
1140,4,783350,SOUTHBOUND,1,003-08,21681
1140,4,783351,SOUTHBOUND,1,003-11,21681
1140,4,783352,SOUTHBOUND,1,003-05,21681
1140,4,783353,SOUTHBOUND,1,003-03,21681
1140,4,783354,SOUTHBOUND,1,003-07,21681
1140,4,783355,SOUTHBOUND,1,003-01,21681
1140,4,783356,SOUTHBOUND,1,003-02,21681
1140,4,783357,SOUTHBOUND,1,003-04,21681
1140,4,783358,SOUTHBOUND,1,003-11,21681
1140,4,783359,SOUTHBOUND,1,003-05,21681
1140,4,783360,SOUTHBOUND,1,003-09,21681
1140,4,783361,SOUTHBOUND,1,003-07,21681
1140,4,783362,SOUTHBOUND,1,003-01,21681
1140,4,783363,SOUTHBOUND,1,003-06,21681
1140,4,783364,SOUTHBOUND,1,003-06,21681
1140,4,783365,SOUTHBOUND,1,003-10,21681
1140,4,783366,SOUTHBOUND,1,003-04,21681
1140,4,783367,SOUTHBOUND,1,003-04,21681
1140,4,783368,SOUTHBOUND,1,003-12,21681
1140,4,783369,SOUTHBOUND,1,003-10,21681
1140,4,783370,SOUTHBOUND,1,003-05,21681
1140,4,783371,SOUTHBOUND,1,003-09,21681
1140,4,783372,SOUTHBOUND,1,003-03,21681
1140,4,783373,SOUTHBOUND,1,003-07,21681
1140,4,783374,SOUTHBOUND,1,003-01,21681
1140,4,783375,SOUTHBOUND,1,003-02,21681
1140,4,783376,SOUTHBOUND,1,003-06,21681
1140,4,783377,SOUTHBOUND,1,003-08,21681
1140,4,783378,SOUTHBOUND,1,003-08,21681
1140,4,783379,SOUTHBOUND,1,003-10,21681
1140,5,783409,SOUTHBOUND,1,003-01,21681
1140,5,783410,SOUTHBOUND,1,003-04,21681
1140,5,783411,SOUTHBOUND,1,003-07,21681
1140,5,783412,SOUTHBOUND,1,003-11,21681
1140,5,783413,SOUTHBOUND,1,003-09,21681
1140,5,783414,SOUTHBOUND,1,003-08,21681
1140,5,783415,SOUTHBOUND,1,003-03,21681
1140,5,783416,SOUTHBOUND,1,003-10,21681
1140,5,783417,SOUTHBOUND,1,003-02,21681
1140,5,783418,SOUTHBOUND,1,003-05,21681
1140,5,783419,SOUTHBOUND,1,003-01,21681
1140,5,783420,SOUTHBOUND,1,003-04,21681
1140,5,783421,SOUTHBOUND,1,003-08,21681
1140,5,783422,SOUTHBOUND,1,003-11,21681
1140,5,783423,SOUTHBOUND,1,003-07,21681
1140,5,783424,SOUTHBOUND,1,003-05,21681
1140,5,783425,SOUTHBOUND,1,003-04,21681
1140,5,783426,SOUTHBOUND,1,003-01,21681
1140,5,783427,SOUTHBOUND,1,003-09,21681
1140,5,783428,SOUTHBOUND,1,003-07,21681
1140,5,783429,SOUTHBOUND,1,003-11,21681
1140,5,783430,SOUTHBOUND,1,003-09,21681
1140,5,783431,SOUTHBOUND,1,003-06,21681
1140,5,783432,SOUTHBOUND,1,003-10,21681
1140,5,783433,SOUTHBOUND,1,003-03,21681
1140,5,783434,SOUTHBOUND,1,003-02,21681
1140,5,783435,SOUTHBOUND,1,003-06,21681
1140,5,783436,SOUTHBOUND,1,003-03,21681
1140,5,783437,SOUTHBOUND,1,003-06,21681
1140,21,801965,SOUTHBOUND,1,003-11,21681
1140,21,801966,SOUTHBOUND,1,003-09,21681
1140,21,801967,SOUTHBOUND,1,003-08,21681
1140,21,801968,SOUTHBOUND,1,003-11,21681
1140,21,801969,SOUTHBOUND,1,003-05,21681
1140,21,801970,SOUTHBOUND,1,003-03,21681
1140,21,801971,SOUTHBOUND,1,003-07,21681
1140,21,801972,SOUTHBOUND,1,003-01,21681
1140,21,801973,SOUTHBOUND,1,003-02,21681
1140,21,801974,SOUTHBOUND,1,003-04,21681
1140,21,801975,SOUTHBOUND,1,003-11,21681
1140,21,801976,SOUTHBOUND,1,003-05,21681
1140,21,801977,SOUTHBOUND,1,003-09,21681
