route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8973,001,WYNNEWOOD/MOCKINGBIRD STATION,,3,,00BFFF,
8974,002,HATCHER,,3,,00BFFF,
8975,008,UNION STATION/UPTOWN,,3,,00BFFF,
8976,011,HAMPTON STA,,3,,00BFFF,
8977,012,DIXON,,3,,00BFFF,
8978,019,ANN ARBOR/LAKEWOOD,,3,,00BFFF,
8979,021,RED BIRD TC/MOCKINGBIRD STA,,3,,00BFFF,
8980,024,MOCK STA/CAPITOL-McMILLAN,,3,,00BFFF,
8981,026,FRAZIER CRTS/REGAL ROW- R. CROSSING,,3,,00BFFF,
8982,029,BACHMAN VIA MAPLE,,3,,00BFFF,
8983,031,ADDISON TC VIA MIDWAY,,3,,00BFFF,
8984,035,KEENELAND/CROZIER,,3,,00BFFF,
8985,036,ADDISON TC VIA PRESTON,,3,,00BFFF,
8986,037,PRAIRIE CK/ ST AUGUSTINE,,3,,00BFFF,
8987,039,LOVE FIELD,,3,,00BFFF,
8988,042,SPRUCE HS/ HAMPTON STATION,,3,,00BFFF,
8989,044,BEXAR ST/RHD-FARMERS BRANCH,,3,,00BFFF,
8990,049,BROOKHOLLOW,,3,,00BFFF,
8991,050,BUCKNER/COCKRELL HILL,,3,,00BFFF,
8992,051,WALNUT HILL,,3,,00BFFF,
8993,052,SINGLETON/BICKERS,,3,,00BFFF,
8994,059,WEST DALLAS/CORINTH STA,,3,,00BFFF,
8995,060,LBJ/SKILLMAN STA/UNION STATION,,3,,00BFFF,
8996,063,SOUTH IRVING STA VIA IRVING BLVD,,3,,00BFFF,
8997,076,LAKEWOOD/KEENELAND,,3,,00BFFF,
9000,110,LA PRADA/EASTFIELD COLLEGE,,3,,00BFFF,
9001,111,SKYLINE H.S.,,3,,00BFFF,
9002,155,PAUL QUINN/BONNIE VIEW,,3,,00BFFF,
9003,161,GLEN OAKS,,3,,00BFFF,
9004,164,WOODMEADOW-S GARLAND,,3,,00BFFF,
9005,165,BRUTON/CHEYENNE,,3,,00BFFF,
9006,183,ADDISON TC VIA INWOOD,,3,,00BFFF,
9007,184,FRANKFORD VIA PRESTON,,3,,00BFFF,
9008,185,SKIP STOP/FARMERS BR/VALWOOD&HUTTON,,3,,00BFFF,
9015,202,NORTH IRVING EXPRESS,,3,,CD5C5C,
9016,204,NORTH CARROLLTON  EXPRESS,,3,,CD5C5C,
9017,205,ADDISON TC EXPRESS,,3,,CD5C5C,
9018,206,GLENN HEIGHTS EXPRESS,,3,,CD5C5C,
9019,207,ROWLETT EXPRESS,,3,,CD5C5C,
