stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
12898,SCHROEDER @ GALVA - S - NS,,32.916118,-96.762192,,
12899,SCHROEDER @ GALVA - S - NS,,32.912078,-96.762787,,
12900,SCHROEDER @ WILLOWDELL - S - NS,,32.911205,-96.762902,,
12901,FOREST @ SHEPHERD - E - NS,,32.909084,-96.750428,,
12907,MEADOW @ GREENVILLE - W - FS,,32.885898,-96.759026,,
12908,WALNUT HILL @ RAMBLER - W - MB,,32.883373,-96.760331,,
12909,WALNUT HILL @ GREENVILLE - E - MB,,32.883196,-96.760393,,
12910,GREENVILLE @ HOLLY HILL - S - NS,,32.874008,-96.762894,,
12914,ANITA @ MATILDA - E - NS,,32.834682,-96.768126,,
12915,MATILDA @ ELLSWORTH - S - NS,,32.833995,-96.767991,,
12916,MATILDA @ PENROSE - S - NS,,32.832439,-96.767991,,
12917,MATILDA @ MCCOMMAS - S - NS,,32.830131,-96.767975,,
12918,MATILDA @ MONTICELLO - S - NS,,32.827129,-96.767991,,
12919,MATILDA @ VANDERBILT - S - NS,,32.825092,-96.767998,,
12920,MATILDA @ VICKERY - S - NS,,32.823062,-96.767998,,
12921,MATILDA @ VELASCO - S - NS,,32.821076,-96.768052,,
12922,MATILDA @ GOLIAD - S - NS,,32.818781,-96.768052,,
12923,MATILDA @ RICHMOND - S - NS,,32.81628,-96.768063,,
12924,MATILDA @ ORAM - S - NS,,32.813968,-96.768085,,
12925,MATILDA @ LEWIS - S - NS,,32.812256,-96.7686,,
12926,ROSS @ HOPE - W - NS,,32.811161,-96.769135,,
12927,GREENVILLE @ HUDSON - S - FS,,32.809908,-96.770265,,
12928,GREENVILLE @ BRYAN - S - NS,,32.80695,-96.770222,,
12930,LIVE OAK @ COLLETT - W - NS,,32.804481,-96.77031,,
12931,LIVE OAK @ FITZHUGH - W - FS,,32.802688,-96.772461,,
12932,LIVE OAK @ ANNEX - W - NS,,32.800639,-96.774959,,
12933,LIVE OAK @ CARROLL - W - FS,,32.799087,-96.776764,,
12934,LIVE OAK @ PEAK - W - NS,,32.79805,-96.778008,,
12935,LIVE OAK @ HASKELL - W - NS,,32.79626,-96.780205,,
12936,LIVE OAK @ WASHINGTON - W - NS,,32.794704,-96.782082,,
12937,LIVE OAK @ HALL - W - NS,,32.792297,-96.78505,,
12938,LIVE OAK @ LIBERTY - W - NS,,32.790187,-96.787513,,
12939,LIVE OAK @ CANTEGRAL - W - NS,,32.788717,-96.789263,,
12940,LIVE OAK @ CANTEGRAL - E - NS,,32.788397,-96.789385,,
12941,LIVE OAK @ TEXAS - E - NS,,32.789215,-96.788552,,
12942,LIVE OAK @ SKILES - E - MB,,32.791007,-96.786316,,
12944,LIVE OAK @ HASKELL - E - NS,,32.796386,-96.779923,,
12945,LIVE OAK @ PEAK - E - NS,,32.797726,-96.778267,,
12946,LIVE OAK @ CARROLL - E - NS,,32.799167,-96.776596,,
12947,LIVE OAK @ ANNEX - E - NS,,32.800361,-96.775147,,
12948,LIVE OAK @ FITZHUGH - E - FS,,32.802867,-96.772126,,
12949,LIVE OAK @ COLLETT - E - NS,,32.804004,-96.770707,,
12950,MUNGER @ LIVE OAK - W - FS,,32.805942,-96.76915,,
12951,GREENVILLE @ BRYAN - N - NS,,32.806541,-96.769867,,
12952,GREENVILLE @ BRYAN PARKWAY - N - NS,,32.80788,-96.770134,,
12953,GREENVILLE @ HUDSON - N - NS,,32.809963,-96.770134,,
12954,ROSS @ HOPE - E - FS,,32.811111,-96.769082,,
12955,MATILDA @ LEWIS - N - FS,,32.812336,-96.768486,,
12956,MATILDA @ ORAM - N - NS,,32.813758,-96.768006,,
12957,MATILDA @ RICHMOND - N - NS,,32.815776,-96.767998,,
12958,MATILDA @ GOLIAD - N - NS,,32.818512,-96.767955,,
12959,MATILDA @ VELASCO - N - NS,,32.820789,-96.767944,,
12960,MATILDA @ VICKERY - N - NS,,32.822864,-96.76796,,
12961,MATILDA @ VANDERBILT - N - NS,,32.824769,-96.767912,,
12962,MATILDA @ MONTICELLO - N - NS,,32.826902,-96.767901,,
12963,MATILDA @ MCCOMMAS - N - NS,,32.829773,-96.767914,,
12964,MATILDA @ PENROSE - N - NS,,32.832149,-96.767899,,
