route_id,agency_id,route_short_name,route_long_name,route_type
A,Unitrans,A,DOWNTOWN/5TH ST/ALHAMBRA,3
B,Unitrans,B,WAKE FOREST/SYCAMORE/DRAKE,3
C,Unitrans,C,SYCAMORE/WAKE FOREST,3
D,Unitrans,D,LAKE BLVD/ARLINGTON,3
E,Unitrans,E,DOWNTOWN/F STREET/J STREET,3
F,Unitrans,F,OAK AVE/E. ALVARADO/CATALINA,3
G,Unitrans,G,ANDERSON/ALVARADO/N. SYCAMORE,3
J,Unitrans,J,ANDERSON/ALVARADO/N. SYCAMORE,3
K,Unitrans,K,LAKE BLVD/ARLINGTON,3
L,Unitrans,L,E. EIGHTH ST/CHESTNUT/FREEMONT CIR,3
M,Unitrans,M,5TH STREET/COWELL/RICHARDS,3
P,Unitrans,P,DAVIS PERIMETER COUNTER CLOCKWISE,3
Q,Unitrans,Q,DAVIS PERIMETER CLOCKWISE,3
S,Unitrans,S,HOLMES & HARPER,3
T,Unitrans,T,DAVIS HIGH,3
W,Unitrans,W,COWELL/DRUMMOND/LILLARD,3
