from_stop_id,to_stop_id,from_route_id,to_route_id,transfer_type,min_transfer_time,service_id
22167,22167,,,1,,
22169,22168,,,2,3,
22168,22169,,,2,3,
22112,22112,,,1,,
22111,22233,,,2,1,
22233,22111,,,2,1,
22154,22154,,,1,,
22155,22155,,,1,,
22154,22155,,,2,3,
22155,22154,,,2,3,
22207,22207,,,1,,
22208,22208,,,1,,
22207,22208,,,2,3,
22208,22207,,,2,3,
22092,22092,,,1,,
22093,22093,,,1,,
22092,22093,,,2,3,
22093,22092,,,2,3,
22065,22065,,,1,,
22066,22066,,,1,,
22065,22066,,,2,3,
22066,22065,,,2,3,
22256,22256,,,1,,
22256,22257,,,1,,
22256,22258,,,1,,
22257,22256,,,1,,
22257,22257,,,1,,
22257,22258,,,1,,
22258,22256,,,1,,
22258,22257,,,1,,
22258,22258,,,1,,
