service_id,date,exception_type
WK,20080817,2
WK,20080818,1
WK,20080819,1
WK,20080820,1
WK,20080821,1
WK,20080822,1
WK,20080823,2
WK,20080824,2
WK,20080825,1
WK,20080826,1
WK,20080827,1
WK,20080828,1
WK,20080829,1
WK,20080830,2
WK,20080831,2
WK,20080901,2
WK,20080902,1
WK,20080903,1
WK,20080904,1
WK,20080905,1
WK,20080906,2
WK,20080907,2
WK,20080908,1
WK,20080909,1
WK,20080910,1
WK,20080911,1
WK,20080912,1
WK,20080913,2
WK,20080914,2
WK,20080915,1
WK,20080916,1
WK,20080917,1
WK,20080918,1
WK,20080919,1
WK,20080920,2
WK,20080921,2
WK,20080922,1
WK,20080923,1
WK,20080924,1
WK,20080925,1
WK,20080926,1
WK,20080927,2
WK,20080928,2
WK,20080929,1
WK,20080930,1
WK,20081001,1
WK,20081002,1
WK,20081003,1
WK,20081004,2
WK,20081005,2
WK,20081006,1
WK,20081007,1
WK,20081008,1
WK,20081009,1
WK,20081010,1
WK,20081011,2
WK,20081012,2
WK,20081013,1
WK,20081014,1
WK,20081015,1
WK,20081016,1
WK,20081017,1
WK,20081018,2
WK,20081019,2
WK,20081020,1
WK,20081021,1
WK,20081022,1
WK,20081023,1
WK,20081024,1
WK,20081025,2
WK,20081026,2
WK,20081027,1
WK,20081028,1
WK,20081029,1
WK,20081030,1
WK,20081031,1
WK,20081101,2
WK,20081102,2
WK,20081103,1
WK,20081104,1
WK,20081105,1
WK,20081106,1
WK,20081107,1
WK,20081108,2
WK,20081109,2
WK,20081110,1
WK,20081111,1
WK,20081112,1
WK,20081113,1
WK,20081114,1
WK,20081115,2
WK,20081116,2
WK,20081117,1
WK,20081118,1
WK,20081119,1
WK,20081120,1
WK,20081121,1
WK,20081122,2
WK,20081123,2
WK,20081124,1
WK,20081125,1
WK,20081126,1
WK,20081127,2
WK,20081128,1
WK,20081129,2
WK,20081130,2
WK,20081201,1
WK,20081202,1
WK,20081203,1
WK,20081204,1
WK,20081205,1
WK,20081206,2
WK,20081207,2
WK,20081208,1
WK,20081209,1
WK,20081210,1
WK,20081211,1
WK,20081212,1
WK,20081213,2
WK,20081214,2
WK,20081215,1
WK,20081216,1
WK,20081217,1
WK,20081218,1
WK,20081219,1
WK,20081220,2
WK,20081221,2
WK,20081222,1
WK,20081223,1
WK,20081224,1
WK,20081225,2
WK,20081226,1
WK,20081227,2
WK,20081228,2
WK,20081229,1
WK,20081230,1
WK,20081231,1
WK,20090101,2
WK,20090102,1
WK,20090103,2
WK,20090104,2
WK,20090105,1
WK,20090106,1
WK,20090107,1
WK,20090108,1
WK,20090109,1
WK,20090110,2
SA,20080817,2
SA,20080818,2
SA,20080819,2
SA,20080820,2
SA,20080821,2
SA,20080822,2
SA,20080823,1
SA,20080824,2
SA,20080825,2
SA,20080826,2
SA,20080827,2
SA,20080828,2
SA,20080829,2
SA,20080830,1
SA,20080831,2
SA,20080901,2
SA,20080902,2
SA,20080903,2
SA,20080904,2
SA,20080905,2
SA,20080906,1
SA,20080907,2
SA,20080908,2
SA,20080909,2
SA,20080910,2
SA,20080911,2
SA,20080912,2
SA,20080913,1
SA,20080914,2
SA,20080915,2
SA,20080916,2
SA,20080917,2
SA,20080918,2
SA,20080919,2
SA,20080920,1
SA,20080921,2
SA,20080922,2
SA,20080923,2
SA,20080924,2
SA,20080925,2
SA,20080926,2
SA,20080927,1
SA,20080928,2
SA,20080929,2
SA,20080930,2
SA,20081001,2
SA,20081002,2
SA,20081003,2
SA,20081004,1
SA,20081005,2
SA,20081006,2
SA,20081007,2
SA,20081008,2
SA,20081009,2
SA,20081010,2
SA,20081011,1
SA,20081012,2
SA,20081013,2
SA,20081014,2
SA,20081015,2
SA,20081016,2
SA,20081017,2
SA,20081018,1
SA,20081019,2
SA,20081020,2
SA,20081021,2
SA,20081022,2
SA,20081023,2
SA,20081024,2
SA,20081025,1
SA,20081026,2
SA,20081027,2
SA,20081028,2
SA,20081029,2
SA,20081030,2
SA,20081031,2
SA,20081101,1
SA,20081102,2
SA,20081103,2
SA,20081104,2
SA,20081105,2
SA,20081106,2
SA,20081107,2
SA,20081108,1
SA,20081109,2
SA,20081110,2
SA,20081111,2
SA,20081112,2
SA,20081113,2
SA,20081114,2
SA,20081115,1
SA,20081116,2
SA,20081117,2
SA,20081118,2
SA,20081119,2
SA,20081120,2
SA,20081121,2
SA,20081122,1
SA,20081123,2
SA,20081124,2
SA,20081125,2
SA,20081126,2
SA,20081127,2
SA,20081128,2
SA,20081129,1
SA,20081130,2
SA,20081201,2
SA,20081202,2
SA,20081203,2
SA,20081204,2
SA,20081205,2
SA,20081206,1
SA,20081207,2
SA,20081208,2
SA,20081209,2
SA,20081210,2
SA,20081211,2
SA,20081212,2
SA,20081213,1
SA,20081214,2
SA,20081215,2
SA,20081216,2
SA,20081217,2
SA,20081218,2
SA,20081219,2
SA,20081220,1
SA,20081221,2
SA,20081222,2
SA,20081223,2
SA,20081224,2
SA,20081225,2
SA,20081226,2
SA,20081227,1
SA,20081228,2
SA,20081229,2
SA,20081230,2
SA,20081231,2
SA,20090101,2
SA,20090102,2
SA,20090103,1
SA,20090104,2
SA,20090105,2
SA,20090106,2
SA,20090107,2
SA,20090108,2
SA,20090109,2
SA,20090110,1
SU,20080817,1
SU,20080818,2
SU,20080819,2
SU,20080820,2
SU,20080821,2
SU,20080822,2
SU,20080823,2
SU,20080824,1
SU,20080825,2
SU,20080826,2
SU,20080827,2
SU,20080828,2
SU,20080829,2
SU,20080830,2
SU,20080831,1
SU,20080901,1
SU,20080902,2
SU,20080903,2
SU,20080904,2
SU,20080905,2
SU,20080906,2
SU,20080907,1
SU,20080908,2
SU,20080909,2
SU,20080910,2
SU,20080911,2
SU,20080912,2
SU,20080913,2
SU,20080914,1
SU,20080915,2
SU,20080916,2
SU,20080917,2
SU,20080918,2
SU,20080919,2
SU,20080920,2
SU,20080921,1
SU,20080922,2
SU,20080923,2
SU,20080924,2
SU,20080925,2
SU,20080926,2
SU,20080927,2
SU,20080928,1
SU,20080929,2
SU,20080930,2
SU,20081001,2
SU,20081002,2
SU,20081003,2
SU,20081004,2
SU,20081005,1
SU,20081006,2
SU,20081007,2
SU,20081008,2
SU,20081009,2
SU,20081010,2
SU,20081011,2
SU,20081012,1
SU,20081013,2
SU,20081014,2
SU,20081015,2
SU,20081016,2
SU,20081017,2
SU,20081018,2
SU,20081019,1
SU,20081020,2
SU,20081021,2
SU,20081022,2
SU,20081023,2
SU,20081024,2
SU,20081025,2
SU,20081026,1
SU,20081027,2
SU,20081028,2
SU,20081029,2
SU,20081030,2
SU,20081031,2
SU,20081101,2
SU,20081102,1
SU,20081103,2
SU,20081104,2
SU,20081105,2
SU,20081106,2
SU,20081107,2
SU,20081108,2
SU,20081109,1
SU,20081110,2
SU,20081111,2
SU,20081112,2
SU,20081113,2
SU,20081114,2
SU,20081115,2
SU,20081116,1
SU,20081117,2
SU,20081118,2
SU,20081119,2
SU,20081120,2
SU,20081121,2
SU,20081122,2
SU,20081123,1
SU,20081124,2
SU,20081125,2
SU,20081126,2
SU,20081127,1
SU,20081128,2
SU,20081129,2
SU,20081130,1
SU,20081201,2
SU,20081202,2
SU,20081203,2
SU,20081204,2
SU,20081205,2
SU,20081206,2
SU,20081207,1
SU,20081208,2
SU,20081209,2
SU,20081210,2
SU,20081211,2
SU,20081212,2
SU,20081213,2
SU,20081214,1
SU,20081215,2
SU,20081216,2
SU,20081217,2
SU,20081218,2
SU,20081219,2
SU,20081220,2
SU,20081221,1
SU,20081222,2
SU,20081223,2
SU,20081224,2
SU,20081225,1
SU,20081226,2
SU,20081227,2
SU,20081228,1
SU,20081229,2
SU,20081230,2
SU,20081231,2
SU,20090101,1
SU,20090102,2
SU,20090103,2
SU,20090104,1
SU,20090105,2
SU,20090106,2
SU,20090107,2
SU,20090108,2
SU,20090109,2
SU,20090110,2
