route_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
0,0,South Broadway,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
0L,0L,South Broadway Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
1,1,West 1st Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
10,10,East 12th Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
100,100,Kipling Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
100X,100X,South Kipling Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
101C,101,C Light Rail,,0,http://www.rtd-denver.com/LightRail/index.html,FF6600,FFFFFF
101D,101,D Light Rail,,0,http://www.rtd-denver.com/LightRail/index.html,008000,FFFFFF
101E,101,E Light Rail,,0,http://www.rtd-denver.com/LightRail/index.html,871F78,FFFFFF
101F,101,F Light Rail,,0,http://www.rtd-denver.com/LightRail/index.html,FF0033,FFFFFF
101G,101,G Light Rail,,0,http://www.rtd-denver.com/LightRail/index.html,996600,FFFFFF
101H,101,H Light Rail,,0,http://www.rtd-denver.com/LightRail/index.html,3D59AB,FFFFFF
104,104,104th Avenue Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
105,105,Havana Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
108X,108X,Countryside Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
11,11,Mississippi Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
112,112,West 112th Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
116X,116X,South Simms Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
119X,119X,Union Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
12,12,South Downing,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
120,120,120th Avenue Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
120X,120X,Wagon Road / Thornton Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
121,121,Peoria Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
121L,121L,Peoria Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
122X,122X,Wagon Road / Civic Center Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
125,125,Denver West,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
128,128,Broomfield / Wagon Road,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
130,130,Yale / Buckley,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
131,131,East Iliff / Seven Hills,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
133,133,Hampden/Tower,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
135,135,Smoky Hill Road,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
139,139,Quincy,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
14,14,West Florida,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
145X,145X,Brighton / DIA Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
15,15,East Colfax,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
153,153,Chambers Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
15L,15L,East Colfax Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
16,16,West Colfax,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
169L,169L,Buckley / Tower DIA Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
16L,16L,West Colfax Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
17,17,Jeffco,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
17B,17,17B Jeffco,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
1A,1,1A West 1st Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
1W,1,1W West 1st Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
2,2,East 1st Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
20,20,20th Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
203,203,Boulder / Lafayette via Baseline,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
204,204,Table Mesa / Moorhead / North 19th,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
205,205,28th St / Gunbarrel,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
205B,205,205B 28th St / Gunbarrel,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
205C,205,205C 28th St / Gunbarrel,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
205W,205,205W 28th St / Gunbarrel,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
206,206,Pearl / Eisenhower,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
208,208,Iris / Valmont,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
209,209,CU / Thunderbird,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
21,21,Evans Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
225,225,Boulder / Lafayette via Baseline,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
228,228,Louisville / Broomfield,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
24,24,University Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
24L,24,24L University Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
27,27,Yale Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
28,28,28th Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
28B,28,28B 28th Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
29,29,Riverbend,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
2X,2X,Morrison Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
3,3,Alameda Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
30,30,South Federal,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
301,301,Westview,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
302,302,Longs Peak/Longmont High,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
303,303,Silver Creek,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
30L,30L,South Federal Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
31,31,North Federal,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
31X,31X,North Federal Express,,3,http://www.rtd-denver.com/,E33638,FFFFFF
32,32,West 32nd Avenue / City Park,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
323,323,Skyline Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
324,324,Main Street Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
326,326,Northside Loop Clockwise,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
327,327,Northside Loop Counterclockwise,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
34,34,West 3rd Avenue Commuter,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
35,35,Hampden Crosstown,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
36,36,Fort Logan,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
36L,36L,Fort Logan Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
38,38,38th Avenue,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
38L,38L,West 38th Avenue Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
3L,3L,East Alameda Limited,,3,http://www.rtd-denver.com/,0099CC,FFFFFF
