stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
10007,W 100th Ave & Pecos St,, 39.87864,-105.00615,,
10008,W 100th Ave & Ura Ln,, 39.87791,-105.01119,,
10009,W 100th Ave & Ura Ln,, 39.87801,-105.01131,,
10013,100th Ave & York St,, 39.87773,-104.95849,,
10014,W 104th Ave & Croke Dr,, 39.88504,-104.99966,,
10016,W 104th Ave & Croke Dr,, 39.88532,-105.00039,,
10019,W 104th Ave & Huron St,, 39.88505,-104.99608,,
10020,W 104th Ave & Huron St,, 39.88533,-104.99742,,
10021,W 104th Ave & Livingston Dr,, 39.88504,-105.00286,,
10022,W 104th Ave & Livingston Dr,, 39.88531,-105.00377,,
10023,W 104th Ave & Melody Dr,, 39.88504,-104.99263,,
10024,W 104th Ave & Quivas St,, 39.88507,-105.00715,,
10025,W 104th Ave & Quivas St,, 39.88534,-105.00791,,
10028,W 106th Ave & Melody Dr,, 39.88877,-104.99540,,
10030,W 10th Ave & Allison St,, 39.73293,-105.08550,,
10031,W 10th Ave & Allison St,, 39.73301,-105.08554,,
10033,W 10th Ave & Balsam St,, 39.73299,-105.08900,,
10036,W 10th Ave & Carr St,, 39.73290,-105.09053,,
10037,W 10th Ave & Carr St,, 39.73300,-105.09060,,
10038,W 10th Ave & Decatur St,, 39.73304,-105.02211,,
10039,W 10th Ave & Depew St,, 39.73300,-105.05768,,
10040,W 10th Ave & Depew St,, 39.73313,-105.05758,,
10042,W 10th Ave & Estes St,, 39.73296,-105.09503,,
10043,W 10th Ave & Estes St,, 39.73280,-105.09502,,
10044,W 10th Ave & Federal Blvd,, 39.73295,-105.02476,,
10045,W 10th Ave & Federal Blvd,, 39.73299,-105.02563,,
10047,W 10th Ave & Flower St,, 39.73281,-105.09918,,
10048,W 10th Ave & Gray St,, 39.73305,-105.06104,,
10049,W 10th Ave & Gray St,, 39.73312,-105.06169,,
10050,W 10th Ave & Hooker St,, 39.73291,-105.02835,,
10051,W 10th Ave & Hooker St,, 39.73298,-105.02897,,
10055,W 10th Ave & Jay St,, 39.73312,-105.06517,,
10056,Jersey St & 10th Ave,, 39.73145,-104.91940,,
10057,W 10th Ave & Kendall St,, 39.73305,-105.06522,,
10060,W 10th Ave & Julian St,, 39.73291,-105.03054,,
10061,W 10th Ave & Knox Ct,, 39.73299,-105.03248,,
10062,10th Ave & Leyden St,, 39.73163,-104.91471,,
10063,10th Ave & Leyden St,, 39.73172,-104.91560,,
10066,W 10th Ave & Meade St,, 39.73292,-105.03601,,
10067,W 10th Ave & Meade St,, 39.73302,-105.03563,,
10068,10th Ave & Monaco Pkwy,, 39.73164,-104.91258,,
10069,10th Ave & Monaco Pkwy,, 39.73171,-104.91269,,
10070,W 10th Ave & Perry St,, 39.73295,-105.03899,,
10071,W 10th Ave & Perry St,, 39.73305,-105.03968,,
10072,W 10th Ave & Pierce St,, 39.73301,-105.07254,,
10073,W 10th Ave & Raleigh St,, 39.73308,-105.04220,,
10074,W 10th Ave & Teller St,, 39.73307,-105.07630,,
10075,W 10th Ave & Sheridan Blvd,, 39.73314,-105.05378,,
10076,W 10th Ave & Sheridan Blvd,, 39.73307,-105.05250,,
10077,W 10th Ave & Stuart St,, 39.73298,-105.04223,,
10078,W 10th Ave & Teller St,, 39.73299,-105.07648,,
10079,W 10th Ave & Wadsworth Blvd,, 39.73306,-105.08200,,
10080,W 10th Ave & Wadsworth Blvd,, 39.73294,-105.08011,,
10081,W 10th Ave & Winona Ct,, 39.73313,-105.04772,,
10082,W 10th Ave & Winona Ct,, 39.73302,-105.04672,,
10083,W 10th Ave & Wolff St,, 39.73304,-105.04949,,
10084,W 10th Ave & Xavier St,, 39.73315,-105.05076,,
10085,10th St & Ford St,, 39.75876,-105.22076,,
10087,10th St & Vasquez St,, 39.76020,-105.21815,,
10088,10th St & Vasquez St,, 39.76012,-105.21869,,
10090,W 112th Ave & Federal Blvd,, 39.89975,-105.02577,,
10091,W 112th Ave & Federal Blvd,, 39.89952,-105.02708,,
10094,W 112th Ave & Sheridan Blvd,, 39.89967,-105.05166,,
10095,W 112th Ave & Vrain St,, 39.89963,-105.04545,,
10096,W 112th Ave & Vrain St,, 39.89975,-105.04570,,
10097,14th St & Walnut St (NB) Alght Stop,, 40.01707,-105.27681,,
10099,11th Ave & Boston St,, 39.73290,-104.88034,,
10100,11th Ave & Boston St,, 39.73277,-104.88014,,
10102,11th Ave & Dayton St,, 39.73280,-104.87495,,
10103,11th Ave & Dayton St,, 39.73290,-104.87595,,
10105,11th Ave & Elmira St,, 39.73280,-104.87239,,
10106,11th Ave & Elmira St,, 39.73290,-104.87323,,
10108,11th Ave & Galena St,, 39.73291,-104.87022,,
10109,11th Ave & Galena St,, 39.73281,-104.86998,,
10112,11th Ave & Geneva St,, 39.73281,-104.86772,,
10115,11th Ave & Hanover St,, 39.73290,-104.86817,,
10116,11th Ave & Havana St,, 39.73281,-104.86554,,
10117,11th Ave & Havana St,, 39.73291,-104.86560,,
10118,11th Ave & Jamaica St,, 39.73282,-104.86213,,
10119,11th Ave & Jamaica St,, 39.73292,-104.86290,,
10120,11th Ave & Joliet St,, 39.73283,-104.86006,,
10121,11th Ave & Joliet St,, 39.73293,-104.86054,,
10122,11th Ave & Lansing St,, 39.73294,-104.85695,,
10123,11th Ave & Lima St,, 39.73285,-104.85562,,
10125,11th Ave & Magnolia St,, 39.73285,-104.91116,,
10126,11th Ave & Moline St,, 39.73295,-104.85450,,
10127,11th Ave & Moline St,, 39.73285,-104.85463,,
10128,11th Ave & Niagara St,, 39.73292,-104.91087,,
10129,11th Ave & Nome St,, 39.73286,-104.84988,,
10130,11th Ave & Nome St,, 39.73297,-104.85132,,
10132,11th Ave & Oneida St,, 39.73286,-104.90826,,
10133,11th Ave & Oneida St,, 39.73293,-104.90776,,
10136,11th Ave & Peoria St,, 39.73302,-104.84789,,
10137,11th Ave & Pontiac St,, 39.73285,-104.90521,,
10139,11th Ave & Quebec St,, 39.73282,-104.90293,,
10140,11th Ave & Quebec St,, 39.73293,-104.90387,,
10141,11th Ave & Rosemary St,, 39.73292,-104.90043,,
10142,11th Ave & Rosemary St,, 39.73284,-104.89968,,
10154,120th Ave & Grant St,, 39.91395,-104.98394,,
10155,120th Ave & Grant St,, 39.91420,-104.98578,,
10158,E 120th Ave & Washington St,, 39.91422,-104.97908,,
10159,12th Ave & Broadway,, 39.73524,-104.98692,,
10160,12th Ave & Corona St,, 39.73510,-104.97360,,
10161,12th Ave & Downing St,, 39.73519,-104.97348,,
10162,12th Ave & Elizabeth St,, 39.73510,-104.95601,,
10163,12th Ave & Elizabeth St,, 39.73519,-104.95608,,
10164,12th Ave & Emerson St,, 39.73510,-104.97616,,
10166,12th Ave & Fillmore St,, 39.73508,-104.95262,,
10167,12th Ave & Fillmore St,, 39.73517,-104.95261,,
10168,12th Ave & Grant St,, 39.73523,-104.98329,,
10169,12th Ave & Grant St,, 39.73533,-104.98401,,
10170,12th Ave & Humboldt St,, 39.73515,-104.96845,,
