service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
7A42,1,1,1,1,1,0,0,20080816,20081222
7A39,1,1,1,1,1,0,0,20090114,20090522
6A58,0,0,0,0,0,1,0,20080714,20110101
5A42,1,1,1,1,1,0,0,20080816,20081222
5A39,1,1,1,1,1,0,0,20090114,20090522
2A54,0,0,0,0,0,1,0,20080714,20120101
1A54,1,1,1,1,1,0,0,20080714,20120101
8A55,1,1,1,1,1,0,0,20080714,20120101
9A55,0,0,0,0,0,1,0,20080714,20120101
10A43,1,1,1,1,1,0,0,20081223,20090113
10A57,1,1,1,1,1,0,0,20080714,20080815
11A32,1,1,1,1,0,0,0,20080818,20081220
11A33,1,1,1,1,0,0,0,20090114,20090520
