route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_bikes_allowed
1,1A54,8A1B54,"Southbound - Fortuna (8)",,,,2
1,1A54,4A1B54,"Southbound - Scotia (2)",,,,2
1,1A54,7A1B54,"Southbound - C.R. (4)",,,,2
1,1A54,9A1B54,"Southbound - C.R. (10)",,,,2
1,1A54,10A1B54,"Southbound - Scotia (12)",,,,2
1,1A54,11A1B54,"Southbound - Fortuna (18)",,,,2
1,1A54,12A1B54,"Southbound - Fortuna (20)",,,,2
1,1A54,13A1B54,"Southbound - Scotia (24)",,,,2
1,1A54,14A1B54,"Southbound - C.R. (26)",,,,2
1,1A54,15A1B54,"Southbound - Fortuna (28)",,,,2
1,1A54,16A1B54,"Southbound - Scotia (32)",,,,2
1,1A54,17A1B54,"Southbound - C.R. (34)",,,,2
1,1A54,18A1B54,"Southbound - Fortuna (36)",,,,2
1,1A54,19A1B54,"Southbound - C.R. (38)",,,,2
1,1A54,20A1B54,"Southbound - Scotia (40)",,,,2
1,1A54,21A1B54,"Southbound - Fortuna (42)",,,,2
1,1A54,23A1B54,"Southbound - Fortuna (16)",,,,2
1,1A54,24A1B54,"Northbound - HSU (1)",,,,2
1,1A54,25A1B54,"Northbound - Airport (3)",,,,2
1,1A54,26A1B54,"Northbound - Trinidad (5)",,,7,2
1,1A54,27A1B54,"Northbound - HSU (7)",,,,2
1,1A54,28A1B54,"Northbound - Airport (9)",,,,2
1,1A54,29A1B54,"Northbound - HSU (11)",,,,2
1,1A54,30A1B54,"Northbound - Trinidad (13)",,,,2
1,1A54,31A1B54,"Northbound - Airport (15)",,,,2
1,1A54,32A1B54,"Northbound - Airport (19)",,,,2
1,1A54,33A1B54,"Northbound - Valley West (21)",,,,2
1,1A54,34A1B54,"Northbound - Airport (23)",,,,2
1,1A54,35A1B54,"Northbound - Trinidad (29)",,,,2
1,1A54,36A1B54,"Northbound - Airport (31)",,,,2
1,1A54,37A1B54,"Northbound - HSU (33)",,,,2
1,1A54,38A1B54,"Northbound - Trinidad (35)",,,,2
1,1A54,39A1B54,"Northbound - Valley West (37)",,,,2
1,1A54,40A1B54,"Northbound - Airport (39)",,,,2
1,1A54,41A1B54,"Northbound - HSU (41)",,,,2
1,2A54,77A2B54,"Sat. Northbound - Trinidad (21)",,,,2
1,2A54,76A2B54,"Sat. Northbound - Valley West (17)",,,,2
1,2A54,75A2B54,"Sat. Northbound - Trinidad (13)",,,,2
1,2A54,74A2B54,"Sat. Northbound - Valley West (11)",,,,2
1,2A54,73A2B54,"Sat. Northbound - Valley West (9)",,,,2
1,2A54,72A2B54,"Sat. Northbound - Trinidad (7)",,,,2
1,2A54,71A2B54,"Sat. Northbound - Valley West (5)",,0,,2
1,2A54,70A2B54,"Sat. Northbound - Valley West (3)",,,,2
1,2A54,69A2B54,"Sat. Northbound - Trinidad (1)",,,,2
1,2A54,68A2B54,"Sat. Southbound - Scotia (20)",,,,2
1,2A54,67A2B54,"Sat Southbound - Bayshore Mall (16)",,,,2
1,2A54,66A2B54,"Sat. Southbound - Bayshore Mall (14",,,,2
1,2A54,65A2B54,"Sat. Southbound - Scotia (12)",,,,2
1,2A54,64A2B54,"Sat. Southbound - Bayshore Mall (10",,,,2
1,2A54,63A2B54,"Sat. Southbound - Bayshore Mall (8)",,,,2
1,2A54,62A2B54,"Sat. Southbound - Scotia (6)",,3,,2
1,2A54,61A2B54,"Sat. Southbound - Bayshore Mall (4)",,,,2
1,2A54,60A2B54,"Sat. Southbound - Scotia (2)",,,,2
3,8A55,225A8B55,"",,1,4,0
3,8A55,224A8B55,"",,1,4,0
4,8A55,80A8B55,"",,2,1,0
4,8A55,81A8B55,"",,2,1,0
5,8A55,82A8B55,"",,3,3,0
5,8A55,83A8B55,"",,3,3,0
4,8A55,84A8B55,"",,2,1,0
6,8A55,85A8B55,"",,5,2,0
6,8A55,86A8B55,"",,5,2,0
5,9A55,87A9B55,"",,4,3,0
7,9A55,88A9B55,"",,6,,0
8,1A54,89A1B54,"",,,,0
8,1A54,90A1B54,"",,,,0
