"stop_id","stop_name","stop_desc","stop_lat","stop_lon","stop_street","stop_city","stop_region","stop_postcode","stop_country"
10,"ANAHEIM-VERMONT",,"33.82344","-117.90981",,,,,
1000,"KRAEMER-BIRCH",,"33.91620","-117.86367",,,,,
1002,"KRAEMER-ORBITER",,"33.91356","-117.86403",,,,,
1003,"KRAEMER-IMPERIAL",,"33.91036","-117.86397",,,,,
1004,"KRAEMER-BUTTONWOOD",,"33.90801","-117.86398",,,,,
1005,"ORBITER-ENT 2830 PENNYSAVER",,"33.91447","-117.85916",,,,,
1006,"SATURN-IMPERIAL",,"33.91186","-117.85716",,,,,
1007,"RANDOLPH-BREA MALL",,"33.91366","-117.88963",,,,,
1008,"RANDOLPH-BIRCH",,"33.91757","-117.88985",,,,,
1009,"RANDOLPH-BREA MALL WAY",,"33.91393","-117.88986",,,,,
101,"BALL-BEACH",,"33.81751","-117.99429",,,,,
1010,"STATE COLLEGE-BREA MALL",,"33.91360","-117.88354",,,,,
1011,"STATE COLLEGE-BREA MALL",,"33.91492","-117.88289",,,,,
1012,"STATE COLLEGE-BIRCH",,"33.91831","-117.88284",,,,,
1013,"STATE COLLEGE-AVOCADO",,"33.92163","-117.88279",,,,,
1014,"STATE COLLEGE-LAMBERT",,"33.92453","-117.88260",,,,,
1015,"STATE COLLEGE-LAMBERT",,"33.92469","-117.88287",,,,,
1016,"STATE COLLEGE-AVOCADO",,"33.92184","-117.88294",,,,,
1017,"STATE COLLEGE-BIRCH",,"33.91782","-117.88309",,,,,
1018,"STATE COLLEGE-BREA MALL",,"33.91357","-117.88377",,,,,
1019,"STATE COLLEGE-BREA MALL",,"33.91295","-117.88561",,,,,
102,"BALL-HALLIDAY",,"33.81750","-117.99650",,,,,
1025,"VALENCIA-ENT 3202 OLINDA NURSERY",,"33.91477","-117.84925",,,,,
1026,"VALENCIA-NASA",,"33.91229","-117.85082",,,,,
1027,"VALENCIA-IMPERIAL",,"33.91031","-117.85212",,,,,
1029,"RING-BREA MALL",,"33.91539","-117.88364",,,,,
103,"BALL-WESTERN",,"33.81744","-118.00171",,,,,
1030,"RING-BREA MALL",,"33.91554","-117.88381",,,,,
1031,"183RD-LOS CERRITOS CENTER (NEARSIDE)",,"33.86552","-118.09552",,,,,
1032,"183RD-LOS CERRITOS CENTER (FARSIDE)",,"33.86553","-118.09430",,,,,
1033,"DEL AMO-MAMMOTH",,"33.84638","-118.05782",,,,,
1034,"DEL AMO-BLOOMFIELD",,"33.84625","-118.06358",,,,,
1035,"DEL AMO-CLARETTA",,"33.84628","-118.06795",,,,,
1036,"DEL AMO-NORWALK",,"33.84628","-118.07235",,,,,
1038,"DEL AMO-CABRILLO",,"33.84626","-118.08001",,,,,
1039,"GRIDLEY-SOUTH",,"33.85860","-118.09073",,,,,
104,"BALL-WESTVALE",,"33.81740","-118.00736",,,,,
1040,"GRIDLEY-187TH",,"33.86091","-118.09106",,,,,
1046,"SOUTH-GRIDLEY",,"33.85827","-118.09019",,,,,
1047,"SOUTH-PIONEER",,"33.85834","-118.08172",,,,,
1048,"SOUTH-ELY",,"33.85843","-118.06875",,,,,
1049,"SOUTH-STEFANI",,"33.85845","-118.06592",,,,,
105,"BALL-KNOTT",,"33.81735","-118.01176",,,,,
1050,"SOUTH-BLOOMFIELD",,"33.85846","-118.06322",,,,,
1051,"SOUTH-ALPHINGTON",,"33.85848","-118.05831",,,,,
1052,"SOUTH-VICKIE",,"33.85854","-118.05230",,,,,
1053,"SOUTH-PIRES",,"33.85854","-118.04959",,,,,
1054,"SOUTH-CARMENITA",,"33.85855","-118.04520",,,,,
1055,"SOUTH-CARMENITA",,"33.85879","-118.04647",,,,,
1056,"SOUTH-PIRES",,"33.85878","-118.05026",,,,,
1057,"SOUTH-VICKIE",,"33.85875","-118.05314",,,,,
1058,"SOUTH-ALFRED",,"33.85870","-118.05956",,,,,
1059,"SOUTH-BLOOMFIELD",,"33.85871","-118.06391",,,,,
106,"BEACH-BALL",,"33.81813","-117.99310",,,,,
1060,"SOUTH-STEFANI",,"33.85866","-118.06640",,,,,
1061,"SOUTH-ELY",,"33.85867","-118.06914",,,,,
1062,"SOUTH-PIONEER",,"33.85853","-118.08292",,,,,
1063,"SOUTH-GRIDLEY",,"33.85850","-118.08783",,,,,
1067,"17TH-PLACENTIA",,"33.63604","-117.93098",,,,,
1068,"17TH-POMONA",,"33.63607","-117.92709",,,,,
1069,"17TH-SUPERIOR",,"33.63603","-117.92327",,,,,
107,"BEACH-ROME",,"33.82059","-117.99315",,,,,
1070,"17TH-NEWPORT",,"33.63634","-117.92142",,,,,
1071,"17TH-ORANGE",,"33.63490","-117.91821",,,,,
1072,"17TH-SANTA ANA",,"33.63283","-117.91523",,,,,
1073,"17TH-TUSTIN",,"33.63050","-117.91187",,,,,
1074,"17TH-IRVINE",,"33.62864","-117.90922",,,,,
1075,"17TH-IRVINE",,"33.62893","-117.90911",,,,,
1076,"17TH-TUSTIN",,"33.63064","-117.91174",,,,,
1077,"17TH-SANTA ANA",,"33.63336","-117.91565",,,,,
1078,"17TH-ORANGE",,"33.63537","-117.91846",,,,,
1079,"17TH-NEWPORT",,"33.63658","-117.92097",,,,,
108,"BEACH-ORANGE",,"33.82545","-117.99317",,,,,
1080,"17TH-SUPERIOR",,"33.63631","-117.92393",,,,,
1081,"17TH-POMONA",,"33.63629","-117.92716",,,,,
109,"BEACH-YOUTH CENTER",,"33.82900","-117.99323",,,,,
1090,"19TH-POMONA",,"33.64329","-117.92709",,,,,
1091,"19TH-ANAHEIM",,"33.64331","-117.92285",,,,,
1096,"19TH-NEWPORT",,"33.64356","-117.91692",,,,,
1097,"19TH-HARBOR",,"33.64355","-117.92002",,,,,
1099,"19TH-MEYERS",,"33.64350","-117.92512",,,,,
11,"ANAHEIM-SOUTH",,"33.82660","-117.91086",,,,,
110,"BEACH-LINCOLN",,"33.83231","-117.99329",,,,,
1102,"ADAMS-ALBATROSS",,"33.67234","-117.94011",,,,,
1103,"ADAMS-PLACENTIA",,"33.67239","-117.93483",,,,,
1104,"ADAMS-MESA VERDE",,"33.67276","-117.92479",,,,,
1105,"ADAMS-ROYAL PALM",,"33.67317","-117.92241",,,,,
1106,"ADAMS-HARBOR",,"33.67314","-117.91875",,,,,
1107,"ADAMS-PINECREEK",,"33.67477","-117.91391",,,,,
1108,"ADAMS-FAIRVIEW",,"33.67580","-117.90882",,,,,
1109,"ADAMS-ENT 1250 OUR TOWN",,"33.67579","-117.91100",,,,,
111,"BEACH-LINCOLN",,"33.83154","-117.99372",,,,,
1110,"ADAMS-PINECREEK",,"33.67487","-117.91432",,,,,
1111,"ADAMS-HARBOR",,"33.67344","-117.91879",,,,,
1112,"ADAMS-ROYAL PALM",,"33.67338","-117.92253",,,,,
1113,"ADAMS-MESA VERDE",,"33.67300","-117.92500",,,,,
1114,"ADAMS-MESA VERDE",,"33.67265","-117.93600",,,,,
1115,"ADAMS-SHANTAR",,"33.67262","-117.94019",,,,,
1116,"ANTON-PARK CENTER",,"33.68997","-117.88244",,,,,
1117,"ANTON-SAKIOKA",,"33.69026","-117.87826",,,,,
1118,"ANTON-AVE OF THE ARTS",,"33.69032","-117.88168",,,,,
1119,"ANTON-PARK CENTER",,"33.69027","-117.88360",,,,,
112,"BEACH-YOUTH CENTER",,"33.82905","-117.99350",,,,,
1121,"AVE OF THE ARTS-SUNFLOWER",,"33.69411","-117.88114",,,,,
1122,"BAKER-COOLIDGE",,"33.68001","-117.90375",,,,,
1123,"BAKER-MENDOZA",,"33.68000","-117.90065",,,,,
1124,"BAKER-HYDE",,"33.67997","-117.89600",,,,,
1125,"BAKER-BEAR",,"33.67997","-117.89392",,,,,
1126,"BAKER-CENTURY",,"33.67998","-117.88981",,,,,
1132,"BAKER-RANDOLPH",,"33.68022","-117.88759",,,,,
1133,"BAKER-JEFFREY",,"33.68020","-117.89073",,,,,
1134,"BAKER-BEAR",,"33.68020","-117.89524",,,,,
1135,"BAKER-POWELL",,"33.68022","-117.89731",,,,,
1136,"BAKER-GRANT",,"33.68022","-117.90068",,,,,
1137,"BAKER-FAIRVIEW",,"33.68023","-117.90555",,,,,
1138,"BRISTOL-RED HILL",,"33.66710","-117.88250",,,,,
1139,"BRISTOL-RANDOLPH",,"33.67676","-117.88734",,,,,
114,"BEACH-ORANGE",,"33.82434","-117.99354",,,,,
1140,"BRISTOL-BAKER",,"33.68102","-117.88553",,,,,
1141,"BRISTOL-PAULARINO",,"33.68265","-117.88545",,,,,
1142,"BRISTOL-ANTON",,"33.69112","-117.88535",,,,,
