"route_id","service_id","trip_id","trip_headsign","block_id"
1,"SA",2693252,,
1,"SA",2693253,,
1,"SA",2693254,,
1,"SA",2693255,,
1,"SA",2693256,,
1,"SA",2693257,,
1,"SA",2693258,,
1,"SA",2693259,,
1,"SA",2693260,,
1,"SA",2693261,,
1,"SA",2693262,,
1,"SA",2693263,,
1,"SA",2693264,,
1,"SA",2693265,,
1,"SA",2693266,,
1,"SA",2693267,,
1,"SA",2693268,,
1,"SA",2693269,,
1,"SA",2693270,,
1,"SA",2693271,,
1,"SA",2693272,,
1,"SA",2693273,,
1,"SA",2693274,,
1,"SA",2693275,,
1,"SA",2693276,,
1,"SA",2693277,,
1,"SA",2693278,,
1,"SA",2693279,,
1,"SA",2693280,,
1,"SA",2693281,,
1,"SU",2697967,,
1,"SU",2697968,,
1,"SU",2697969,,
1,"SU",2697970,,
1,"SU",2697971,,
1,"SU",2697972,,
1,"SU",2697973,,
1,"SU",2697974,,
1,"SU",2697975,,
1,"SU",2697976,,
1,"SU",2697977,,
1,"SU",2697978,,
1,"SU",2697979,,
1,"SU",2697980,,
1,"SU",2697981,,
1,"SU",2697982,,
1,"SU",2697983,,
1,"SU",2697984,,
1,"SU",2697985,,
1,"SU",2697986,,
1,"SU",2697987,,
1,"SU",2697988,,
1,"SU",2697989,,
1,"SU",2697990,,
1,"SU",2697991,,
1,"SU",2697992,,
1,"SU",2697993,,
1,"SU",2697994,,
1,"SU",2697995,,
1,"SU",2697996,,
1,"WD",2686391,,
1,"WD",2686392,,
1,"WD",2686393,,
1,"WD",2686394,,
1,"WD",2686395,,
1,"WD",2686396,,
1,"WD",2686397,,
1,"WD",2686398,,
1,"WD",2686399,,
1,"WD",2686400,,
1,"WD",2686401,,
1,"WD",2686402,,
1,"WD",2686403,,
1,"WD",2686404,,
1,"WD",2686405,,
1,"WD",2686406,,
1,"WD",2686407,,
1,"WD",2686408,,
1,"WD",2686409,,
1,"WD",2686410,,
1,"WD",2686411,,
1,"WD",2686412,,
1,"WD",2686413,,
1,"WD",2686414,,
1,"WD",2686415,,
1,"WD",2686416,,
1,"WD",2686417,,
1,"WD",2686418,,
1,"WD",2686419,,
1,"WD",2686420,,
1,"WD",2686421,,
1,"WD",2686422,,
1,"WD",2686423,,
1,"WD",2686424,,
1,"WD",2686425,,
1,"WD",2686426,,
1,"WD",2686427,,
1,"WD",2686428,,
1,"WD",2686429,,
1,"WD",2686430,,
1,"WD",2686431,,
1,"WD",2686432,,
1,"WD",2686433,,
1,"WD",2686434,,
1,"WD",2686435,,
1,"WD",2686436,,
1,"WD",2686437,,
1,"WD",2686438,,
1,"WD",2686439,,
1,"WD",2686440,,
1,"WD",2686441,,
1,"WD",2686442,,
1,"WD",2686443,,
1,"WD",2686444,,
1,"WD",2686445,,
1,"WD",2686446,,
1,"WD",2686447,,
1,"WD",2686448,,
1,"WD",2686449,,
1,"WD",2686450,,
1,"WD",2686451,,
1,"WD",2686452,,
1,"WD",2686453,,
1,"WD",2686454,,
1,"WD",2686455,,
131,"WD",2684603,,
131,"WD",2684604,,
131,"WD",2684605,,
131,"WD",2684606,,
131,"WD",2684607,,
131,"WD",2684608,,
131,"WD",2684609,,
131,"WD",2684610,,
131,"WD",2684611,,
131,"WD",2684612,,
131,"WD",2684613,,
131,"WD",2684614,,
131,"WD",2684615,,
131,"WD",2684616,,
131,"WD",2684617,,
131,"WD",2684618,,
131,"WD",2684619,,
131,"WD",2684620,,
131,"WD",2684621,,
131,"WD",2684622,,
131,"WD",2684623,,
131,"WD",2684624,,
145,"SA",2694944,,
145,"SA",2694945,,
145,"SA",2694946,,
145,"SA",2694947,,
145,"SA",2694948,,
145,"SA",2694949,,
145,"SA",2694950,,
145,"SA",2694951,,
145,"SA",2694952,,
145,"SA",2694953,,
145,"SA",2694954,,
145,"SA",2694955,,
145,"SA",2694956,,
145,"SA",2694957,,
145,"SA",2694958,,
145,"SA",2694959,,
145,"SA",2694960,,
145,"SA",2694961,,
145,"SA",2694962,,
145,"SA",2694963,,
145,"SA",2694964,,
145,"SA",2694965,,
145,"SA",2694966,,
145,"SA",2694967,,
145,"SA",2694968,,
145,"SA",2694969,,
145,"SA",2694970,,
145,"SA",2694971,,
145,"SA",2694972,,
145,"SA",2694973,,
145,"SU",2697824,,
145,"SU",2697825,,
145,"SU",2697826,,
145,"SU",2697827,,
145,"SU",2697828,,
145,"SU",2697829,,
145,"SU",2697830,,
145,"SU",2697831,,
145,"SU",2697832,,
145,"SU",2697833,,
145,"SU",2697834,,
145,"SU",2697835,,
145,"SU",2697836,,
145,"SU",2697837,,
145,"SU",2697838,,
145,"SU",2697839,,
145,"SU",2697840,,
145,"SU",2697841,,
145,"SU",2697842,,
145,"SU",2697843,,
145,"SU",2697844,,
145,"SU",2697845,,
145,"SU",2697846,,
145,"SU",2697847,,
145,"SU",2697848,,
145,"SU",2697849,,
145,"WD",2685026,,
145,"WD",2685027,,
145,"WD",2685028,,
145,"WD",2685029,,
145,"WD",2685030,,
145,"WD",2685031,,
145,"WD",2685032,,
145,"WD",2685033,,
145,"WD",2685034,,
145,"WD",2685035,,
145,"WD",2685036,,
145,"WD",2685037,,
145,"WD",2685038,,
145,"WD",2685039,,
145,"WD",2685040,,
145,"WD",2685041,,
145,"WD",2685042,,
145,"WD",2685043,,
145,"WD",2685044,,
145,"WD",2685045,,
145,"WD",2685046,,
145,"WD",2685047,,
145,"WD",2685048,,
145,"WD",2685049,,
145,"WD",2685050,,
145,"WD",2685051,,
145,"WD",2685052,,
145,"WD",2685053,,
145,"WD",2685054,,
145,"WD",2685055,,
145,"WD",2685056,,
145,"WD",2685057,,
145,"WD",2685058,,
145,"WD",2685059,,
145,"WD",2685060,,
145,"WD",2685061,,
145,"WD",2685062,,
145,"WD",2685063,,
145,"WD",2685064,,
145,"WD",2685065,,
145,"WD",2685066,,
145,"WD",2685067,,
145,"WD",2685068,,
145,"WD",2685069,,
145,"WD",2685070,,
145,"WD",2685071,,
145,"WD",2685072,,
145,"WD",2685073,,
145,"WD",2685074,,
147,"WD",2685607,,
147,"WD",2685608,,
147,"WD",2685609,,
147,"WD",2685610,,
147,"WD",2685611,,
147,"WD",2685612,,
147,"WD",2685613,,
164,"WD",2685862,,
164,"WD",2685863,,
164,"WD",2685864,,
164,"WD",2685865,,
164,"WD",2685866,,
164,"WD",2685867,,
164,"WD",2685868,,
164,"WD",2685869,,
164,"WD",2685870,,
164,"WD",2685871,,
164,"WD",2685872,,
164,"WD",2685873,,
164,"WD",2685874,,
164,"WD",2685875,,
164,"WD",2685876,,
164,"WD",2685877,,
164,"WD",2685878,,
164,"WD",2685879,,
164,"WD",2685880,,
164,"WD",2685881,,
164,"WD",2685882,,
164,"WD",2685883,,
164,"WD",2685884,,
167,"SA",2695064,,
167,"SA",2695065,,
167,"SA",2695066,,
167,"SA",2695067,,
167,"SA",2695068,,
167,"SA",2695069,,
167,"SA",2695070,,
167,"SA",2695071,,
167,"SA",2695072,,
167,"SA",2695073,,
167,"SA",2695074,,
167,"SA",2695075,,
167,"SA",2695076,,
167,"SA",2695077,,
167,"SA",2695078,,
167,"SA",2695079,,
167,"SA",2695080,,
167,"SA",2695081,,
167,"SA",2695082,,
167,"SA",2695083,,
167,"SU",2733501,,
167,"SU",2733502,,
167,"SU",2733503,,
167,"SU",2733504,,
167,"SU",2733505,,
167,"SU",2733506,,
167,"SU",2733507,,
167,"SU",2733508,,
167,"SU",2733509,,
167,"SU",2733510,,
167,"SU",2733511,,
167,"SU",2733512,,
167,"SU",2733513,,
167,"SU",2733514,,
167,"SU",2733515,,
167,"SU",2733516,,
167,"SU",2733517,,
167,"SU",2733518,,
167,"SU",2733519,,
167,"SU",2733548,,
167,"WD",2689612,,
167,"WD",2689613,,
167,"WD",2689614,,
167,"WD",2689615,,
167,"WD",2689616,,
167,"WD",2689617,,
167,"WD",2689618,,
167,"WD",2689619,,
167,"WD",2689620,,
167,"WD",2689621,,
167,"WD",2689622,,
167,"WD",2689623,,
167,"WD",2689624,,
167,"WD",2689625,,
167,"WD",2689626,,
167,"WD",2689627,,
167,"WD",2689628,,
167,"WD",2689629,,
167,"WD",2689630,,
167,"WD",2689631,,
167,"WD",2689632,,
167,"WD",2689633,,
167,"WD",2689634,,
167,"WD",2689635,,
167,"WD",2689636,,
167,"WD",2689637,,
167,"WD",2689638,,
167,"WD",2689639,,
167,"WD",2689640,,
167,"WD",2689641,,
167,"WD",2689642,,
167,"WD",2689643,,
167,"WD",2689644,,
172,"SA",2693654,,
172,"SA",2693655,,
172,"SA",2693656,,
172,"SA",2693657,,
172,"SA",2693658,,
172,"SA",2693659,,
172,"SA",2693660,,
172,"SA",2693661,,
172,"SA",2693662,,
172,"SA",2693663,,
172,"SA",2693664,,
172,"SA",2693665,,
172,"SA",2693666,,
172,"SA",2693667,,
172,"SA",2693668,,
172,"SA",2693669,,
172,"SA",2693670,,
172,"SA",2693671,,
172,"SA",2693672,,
172,"SA",2693673,,
172,"SA",2693674,,
172,"SA",2693675,,
172,"SA",2693676,,
172,"SA",2693677,,
172,"SA",2693678,,
172,"SA",2693679,,
172,"SA",2693680,,
172,"SU",2697943,,
172,"SU",2697944,,
172,"SU",2697945,,
172,"SU",2697946,,
172,"SU",2697947,,
172,"SU",2697948,,
172,"SU",2697949,,
172,"SU",2697950,,
172,"SU",2697951,,
172,"SU",2697952,,
172,"SU",2697953,,
172,"SU",2697954,,
172,"SU",2697955,,
172,"SU",2697956,,
172,"SU",2697957,,
172,"SU",2697958,,
172,"SU",2697959,,
172,"SU",2697960,,
172,"SU",2697961,,
172,"SU",2697962,,
172,"WD",2686707,,
172,"WD",2686708,,
172,"WD",2686709,,
172,"WD",2686710,,
172,"WD",2686711,,
172,"WD",2686712,,
172,"WD",2686713,,
172,"WD",2686714,,
172,"WD",2686715,,
172,"WD",2686716,,
172,"WD",2686717,,
172,"WD",2686718,,
172,"WD",2686719,,
172,"WD",2686720,,
172,"WD",2686721,,
172,"WD",2686722,,
172,"WD",2686723,,
172,"WD",2686724,,
172,"WD",2686725,,
172,"WD",2686726,,
172,"WD",2686727,,
172,"WD",2686728,,
172,"WD",2686729,,
172,"WD",2686730,,
172,"WD",2686731,,
172,"WD",2686732,,
172,"WD",2686733,,
172,"WD",2686734,,
173,"WD",2686244,,
173,"WD",2686245,,
173,"WD",2686246,,
173,"WD",2686247,,
173,"WD",2686248,,
173,"WD",2686249,,
173,"WD",2686250,,
173,"WD",2686251,,
173,"WD",2686252,,
173,"WD",2686253,,
173,"WD",2686254,,
173,"WD",2686255,,
173,"WD",2686256,,
173,"WD",2686257,,
173,"WD",2686258,,
173,"WD",2686259,,
173,"WD",2686260,,
173,"WD",2686261,,
173,"WD",2686262,,
173,"WD",2686263,,
173,"WD",2686264,,
173,"WD",2686265,,
173,"WD",2686266,,
173,"WD",2686267,,
173,"WD",2686268,,
173,"WD",2686269,,
173,"WD",2686270,,
173,"WD",2686271,,
173,"WD",2686272,,
173,"WD",2686273,,
173,"WD",2686274,,
173,"WD",2686275,,
173,"WD",2686276,,
173,"WD",2686277,,
173,"WD",2686278,,
173,"WD",2686279,,
173,"WD",2686280,,
173,"WD",2686281,,
175,"WD",2687528,,
175,"WD",2687529,,
175,"WD",2687530,,
175,"WD",2687531,,
175,"WD",2687532,,
175,"WD",2687533,,
175,"WD",2687534,,
175,"WD",2687535,,
175,"WD",2687536,,
175,"WD",2687537,,
175,"WD",2687538,,
175,"WD",2687539,,
175,"WD",2687540,,
175,"WD",2687541,,
175,"WD",2687542,,
175,"WD",2687543,,
175,"WD",2687544,,
175,"WD",2687545,,
175,"WD",2687546,,
175,"WD",2687547,,
175,"WD",2687548,,
175,"WD",2687549,,
175,"WD",2687550,,
175,"WD",2687551,,
175,"WD",2687552,,
175,"WD",2687553,,
175,"WD",2687554,,
175,"WD",2687555,,
175,"WD",2687556,,
177,"SA",2695120,,
177,"SA",2695121,,
177,"SA",2695122,,
177,"SA",2695123,,
177,"SA",2695124,,
177,"SA",2695125,,
177,"SA",2695126,,
177,"SA",2695127,,
177,"SA",2695128,,
177,"SA",2695129,,
177,"SA",2695130,,
177,"SA",2695131,,
177,"SA",2695132,,
177,"SA",2695133,,
177,"SA",2695134,,
177,"SA",2695135,,
177,"SA",2695136,,
177,"SA",2695137,,
177,"SA",2695138,,
177,"SA",2695139,,
177,"SA",2695140,,
177,"SA",2695141,,
177,"SA",2695142,,
177,"SA",2695143,,
177,"SA",2695144,,
177,"SA",2695145,,
177,"SA",2695146,,
177,"SA",2695147,,
177,"SA",2695148,,
177,"SU",2698851,,
177,"SU",2698852,,
177,"SU",2698853,,
177,"SU",2698854,,
177,"SU",2698855,,
177,"SU",2698856,,
177,"SU",2698857,,
177,"SU",2698858,,
177,"SU",2698859,,
177,"SU",2698860,,
177,"SU",2698861,,
177,"SU",2698862,,
177,"SU",2698863,,
177,"SU",2698864,,
177,"SU",2698865,,
177,"SU",2698866,,
177,"SU",2698867,,
177,"SU",2698868,,
177,"SU",2698869,,
177,"SU",2698870,,
177,"SU",2698871,,
177,"SU",2698872,,
177,"SU",2698873,,
177,"SU",2698874,,
177,"SU",2698875,,
177,"SU",2698876,,
177,"SU",2698877,,
177,"SU",2698878,,
177,"SU",2698879,,
177,"WD",2688037,,
177,"WD",2688038,,
177,"WD",2688039,,
177,"WD",2688040,,
177,"WD",2688041,,
177,"WD",2688042,,
177,"WD",2688043,,
177,"WD",2688044,,
177,"WD",2688045,,
177,"WD",2688046,,
177,"WD",2688047,,
177,"WD",2688048,,
177,"WD",2688049,,
177,"WD",2688050,,
177,"WD",2688051,,
177,"WD",2688052,,
177,"WD",2688053,,
177,"WD",2688054,,
177,"WD",2688055,,
177,"WD",2688056,,
177,"WD",2688057,,
177,"WD",2688058,,
177,"WD",2688059,,
177,"WD",2688060,,
177,"WD",2688061,,
177,"WD",2688062,,
177,"WD",2688063,,
177,"WD",2688064,,
177,"WD",2688065,,
177,"WD",2688066,,
177,"WD",2688067,,
177,"WD",2688068,,
177,"WD",2688069,,
177,"WD",2688070,,
177,"WD",2688071,,
177,"WD",2688072,,
177,"WD",2688073,,
177,"WD",2688074,,
178,"SA",2693624,,
178,"SA",2693625,,
178,"SA",2693626,,
178,"SA",2693627,,
178,"SA",2693628,,
178,"SA",2693629,,
178,"SA",2693630,,
178,"SA",2693631,,
178,"SA",2693632,,
178,"SA",2693633,,
178,"SA",2693634,,
178,"SA",2693635,,
178,"SA",2693636,,
178,"SA",2693637,,
178,"SA",2693638,,
178,"SA",2693639,,
178,"SA",2693640,,
178,"SA",2693641,,
178,"SA",2693642,,
178,"SA",2693643,,
178,"SA",2693644,,
178,"SA",2693645,,
178,"SA",2693646,,
178,"SA",2693647,,
178,"SA",2693648,,
178,"SA",2693649,,
178,"WD",2687468,,
178,"WD",2687469,,
178,"WD",2687470,,
178,"WD",2687471,,
178,"WD",2687472,,
178,"WD",2687473,,
178,"WD",2687474,,
178,"WD",2687475,,
178,"WD",2687476,,
178,"WD",2687477,,
178,"WD",2687478,,
178,"WD",2687479,,
178,"WD",2687480,,
178,"WD",2687481,,
178,"WD",2687482,,
178,"WD",2687483,,
178,"WD",2687484,,
178,"WD",2687485,,
178,"WD",2687486,,
178,"WD",2687487,,
178,"WD",2687488,,
178,"WD",2687489,,
178,"WD",2687490,,
178,"WD",2687491,,
178,"WD",2687492,,
178,"WD",2687493,,
178,"WD",2687494,,
178,"WD",2687495,,
178,"WD",2687496,,
178,"WD",2687497,,
178,"WD",2687498,,
178,"WD",2687499,,
178,"WD",2687500,,
178,"WD",2687501,,
178,"WD",2687502,,
178,"WD",2687503,,
178,"WD",2687504,,
178,"WD",2687505,,
178,"WD",2687506,,
178,"WD",2687507,,
178,"WD",2687508,,
178,"WD",2687509,,
178,"WD",2687510,,
178,"WD",2687511,,
178,"WD",2687512,,
178,"WD",2687513,,
187,"WD",2686356,,
187,"WD",2686357,,
187,"WD",2686358,,
187,"WD",2686359,,
187,"WD",2686360,,
187,"WD",2686361,,
187,"WD",2686362,,
187,"WD",2686363,,
187,"WD",2686364,,
187,"WD",2686365,,
187,"WD",2686366,,
187,"WD",2686367,,
187,"WD",2686368,,
187,"WD",2686369,,
187,"WD",2686370,,
187,"WD",2686371,,
187,"WD",2686372,,
187,"WD",2686373,,
187,"WD",2686374,,
188,"WD",2685256,,
188,"WD",2685257,,
188,"WD",2685258,,
188,"WD",2685259,,
188,"WD",2685260,,
188,"WD",2685261,,
188,"WD",2685262,,
188,"WD",2685263,,
188,"WD",2685264,,
188,"WD",2685265,,
188,"WD",2685266,,
188,"WD",2685267,,
188,"WD",2685268,,
188,"WD",2685269,,
188,"WD",2685270,,
188,"WD",2685271,,
188,"WD",2685272,,
188,"WD",2685273,,
188,"WD",2685274,,
188,"WD",2685275,,
191,"SA",2694683,,
191,"SA",2694684,,
191,"SA",2694685,,
191,"SA",2694686,,
191,"SA",2694687,,
191,"SA",2694688,,
191,"SA",2694689,,
191,"SA",2694690,,
191,"SA",2694691,,
191,"SA",2694692,,
191,"SA",2694693,,
191,"SA",2694694,,
191,"SA",2694695,,
191,"SA",2694696,,
191,"SA",2694697,,
191,"SA",2694698,,
191,"SA",2694699,,
191,"SA",2694700,,
191,"SA",2694701,,
191,"SA",2694702,,
191,"SA",2694703,,
191,"SA",2694704,,
191,"SA",2694705,,
191,"SA",2694706,,
191,"SA",2694707,,
191,"SA",2694708,,
191,"SU",2698762,,
191,"SU",2698763,,
191,"SU",2698764,,
191,"SU",2698765,,
191,"SU",2698766,,
191,"SU",2698767,,
191,"SU",2698768,,
191,"SU",2698769,,
191,"SU",2698770,,
191,"SU",2698771,,
191,"SU",2698772,,
191,"SU",2698773,,
191,"SU",2698774,,
191,"SU",2698775,,
191,"SU",2698776,,
191,"SU",2698777,,
191,"SU",2698778,,
191,"SU",2698779,,
191,"SU",2698780,,
191,"SU",2698781,,
191,"SU",2698782,,
191,"SU",2698783,,
191,"SU",2698784,,
191,"SU",2698785,,
191,"SU",2698786,,
191,"WD",2684129,,
191,"WD",2684130,,
191,"WD",2684131,,
191,"WD",2684132,,
191,"WD",2684133,,
191,"WD",2684134,,
191,"WD",2684135,,
191,"WD",2684136,,
191,"WD",2684137,,
191,"WD",2684138,,
191,"WD",2684139,,
191,"WD",2684140,,
191,"WD",2684141,,
191,"WD",2684142,,
191,"WD",2684143,,
191,"WD",2684144,,
191,"WD",2684145,,
191,"WD",2684146,,
191,"WD",2684147,,
191,"WD",2684148,,
191,"WD",2684149,,
191,"WD",2684150,,
191,"WD",2684151,,
191,"WD",2684152,,
191,"WD",2684153,,
191,"WD",2684154,,
191,"WD",2684155,,
191,"WD",2684156,,
191,"WD",2684157,,
191,"WD",2684158,,
191,"WD",2684159,,
191,"WD",2684160,,
191,"WD",2684161,,
191,"WD",2684162,,
191,"WD",2684163,,
191,"WD",2684164,,
191,"WD",2684165,,
191,"WD",2684166,,
191,"WD",2684167,,
191,"WD",2684168,,
191,"WD",2684169,,
191,"WD",2684170,,
191,"WD",2684171,,
191,"WD",2684172,,
191,"WD",2684173,,
191,"WD",2684174,,
191,"WD",2684175,,
191,"WD",2684176,,
191,"WD",2684177,,
193,"SA",2693407,,
193,"SA",2693408,,
193,"SA",2693409,,
193,"SA",2693410,,
193,"SA",2693411,,
193,"SA",2693412,,
193,"SA",2693413,,
193,"SA",2693414,,
193,"SA",2693415,,
193,"SA",2693416,,
193,"SA",2693417,,
193,"SA",2693418,,
193,"SA",2693419,,
193,"SA",2693420,,
193,"SA",2693421,,
193,"SA",2693422,,
193,"SA",2693423,,
193,"SA",2693424,,
193,"SA",2693425,,
193,"SA",2693426,,
193,"SA",2693427,,
193,"SA",2693428,,
193,"SA",2693429,,
193,"SA",2693430,,
193,"SA",2693431,,
193,"SA",2693432,,
193,"SU",2698795,,
193,"SU",2698796,,
193,"SU",2698797,,
193,"SU",2698798,,
193,"SU",2698799,,
193,"SU",2698800,,
193,"SU",2698801,,
193,"SU",2698802,,
193,"SU",2698803,,
193,"SU",2698804,,
193,"SU",2698805,,
193,"SU",2698806,,
193,"SU",2698807,,
193,"SU",2698808,,
193,"SU",2698809,,
193,"SU",2698810,,
193,"SU",2698811,,
193,"SU",2698812,,
193,"SU",2698813,,
193,"SU",2698814,,
193,"SU",2698815,,
193,"SU",2698816,,
193,"SU",2698817,,
193,"SU",2698818,,
193,"SU",2698819,,
193,"SU",2698820,,
193,"WD",2686565,,
193,"WD",2686566,,
193,"WD",2686567,,
193,"WD",2686568,,
193,"WD",2686569,,
193,"WD",2686570,,
193,"WD",2686571,,
193,"WD",2686572,,
193,"WD",2686573,,
193,"WD",2686574,,
193,"WD",2686575,,
193,"WD",2686576,,
193,"WD",2686577,,
193,"WD",2686578,,
193,"WD",2686579,,
193,"WD",2686580,,
193,"WD",2686581,,
193,"WD",2686582,,
193,"WD",2686583,,
193,"WD",2686584,,
193,"WD",2686585,,
193,"WD",2686586,,
193,"WD",2686587,,
193,"WD",2686588,,
193,"WD",2686589,,
193,"WD",2686590,,
193,"WD",2686591,,
193,"WD",2686592,,
193,"WD",2686593,,
193,"WD",2686594,,
193,"WD",2686595,,
193,"WD",2686596,,
20,"WD",2687260,,
20,"WD",2687261,,
20,"WD",2687262,,
20,"WD",2687263,,
20,"WD",2687264,,
20,"WD",2687265,,
20,"WD",2687266,,
20,"WD",2687267,,
20,"WD",2687268,,
20,"WD",2687269,,
20,"WD",2687270,,
20,"WD",2687271,,
20,"WD",2687272,,
20,"WD",2687273,,
20,"WD",2687274,,
20,"WD",2687275,,
20,"WD",2687276,,
20,"WD",2687277,,
20,"WD",2687278,,
20,"WD",2687279,,
20,"WD",2687280,,
20,"WD",2687281,,
20,"WD",2687282,,
20,"WD",2687283,,
20,"WD",2687284,,
20,"WD",2687285,,
20,"WD",2687286,,
20,"WD",2687287,,
20,"WD",2687288,,
20,"WD",2687289,,
206,"WD",2685238,,
206,"WD",2685239,,
206,"WD",2685240,,
206,"WD",2685241,,
206,"WD",2685242,,
206,"WD",2685243,,
21,"WD",2687640,,
21,"WD",2687641,,
21,"WD",2687642,,
21,"WD",2687643,,
21,"WD",2687644,,
21,"WD",2687645,,
21,"WD",2687646,,
21,"WD",2687647,,
