service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,0,0,0,0,0,0,1,20081005,20081129
2,1,1,1,1,1,1,1,20081005,20081129
4,0,0,0,0,1,1,0,20081005,20081129
8,1,1,1,1,1,0,0,20081005,20081129
10,0,0,0,0,1,0,0,20081005,20081129
11,1,1,1,0,0,0,0,20081005,20081129
13,1,0,0,0,0,0,0,20081005,20081129
14,0,0,0,0,0,1,0,20081005,20081129
15,0,1,1,1,1,0,0,20081005,20081129
16,0,0,0,0,0,1,0,20081005,20081129
17,0,0,0,0,0,0,1,20081005,20081129
19,0,0,1,0,0,0,0,20081005,20081129
20,0,0,0,0,0,0,1,20081005,20081129
21,0,0,0,0,0,0,1,20081005,20081129
24,0,0,0,1,1,0,0,20081005,20081129
25,0,0,0,1,0,0,0,20081005,20081129
28,1,1,1,1,1,0,0,20081005,20081129
29,1,1,1,1,1,0,0,20081005,20081129
32,1,1,1,1,1,0,0,20081005,20081129
33,0,0,0,0,0,1,1,20081005,20081129
34,0,1,0,0,0,0,0,20081005,20081129
35,0,0,0,1,0,0,0,20081005,20081129
36,0,0,0,0,1,0,0,20081005,20081129
37,0,0,0,0,0,0,0,20081005,20081129
38,0,1,1,1,0,0,0,20081005,20081129
39,0,1,1,1,1,0,0,20081005,20081129
40,0,1,1,0,1,0,0,20081005,20081129
41,0,0,1,1,1,0,0,20081005,20081129
42,0,1,0,1,1,0,0,20081005,20081129
43,1,1,1,1,0,0,0,20081005,20081129
44,1,1,1,1,1,0,0,20081005,20081129
45,1,1,1,0,1,0,0,20081005,20081129
46,1,0,1,1,1,0,0,20081005,20081129
47,1,1,0,1,1,0,0,20081005,20081129
48,0,0,0,0,0,1,0,20081005,20081129
50,1,1,1,1,1,0,0,20081005,20081129
53,0,1,1,0,0,0,0,20081005,20081129
54,1,1,1,1,1,0,0,20081005,20081129
55,0,0,0,0,0,0,0,20081005,20081129
56,0,0,0,0,0,1,0,20081005,20081129
57,0,0,0,0,0,0,1,20081005,20081129
58,1,1,1,1,1,0,0,20081005,20081129
59,1,0,0,0,0,0,0,20081005,20081129
60,1,1,1,1,0,0,0,20081005,20081129
61,1,0,1,0,1,0,0,20081005,20081129
62,0,1,0,1,0,0,0,20081005,20081129
66,1,1,1,1,1,0,0,20081005,20081129
68,1,1,1,0,1,0,0,20081005,20081129
70,1,0,1,1,1,0,0,20081005,20081129
71,1,0,0,0,0,0,0,20081005,20081129
72,0,1,0,0,0,0,0,20081005,20081129
73,0,0,1,0,0,0,0,20081005,20081129
80,0,0,0,0,1,0,0,20081005,20081129
81,1,1,1,1,0,0,0,20081005,20081129
86,1,0,0,0,0,0,0,20081005,20081129
87,1,1,1,1,1,0,0,20081005,20081129
88,0,0,0,0,0,0,1,20081005,20081129
97,1,1,1,1,1,0,0,20081005,20081129
98,1,1,1,1,1,0,0,20081005,20081129
99,0,0,0,0,0,0,1,20081005,20081129
101,0,0,0,0,0,0,0,20081005,20081129
112,0,0,0,0,0,0,0,20081005,20081129
115,0,0,0,0,0,0,0,20081005,20081129
116,0,0,0,0,0,0,0,20081005,20081129
117,0,0,0,0,0,0,0,20081005,20081129
121,0,0,0,0,1,0,0,20081005,20081129
126,1,1,1,1,1,1,0,20081005,20081129
130,1,0,0,0,0,1,0,20081005,20081129
