service_id,date,exception_type
13,20081020,2
13,20081027,2
13,20081103,2
13,20081110,2
13,20081117,2
13,20081124,2
15,20081020,1
15,20081027,1
15,20081103,1
15,20081110,1
15,20081117,1
15,20081124,1
28,20081124,2
28,20081125,2
28,20081126,2
28,20081127,2
28,20081128,2
29,20081124,2
29,20081125,2
29,20081126,2
29,20081127,2
29,20081128,2
37,20081020,1
37,20081027,1
37,20081103,1
37,20081110,1
37,20081117,1
37,20081124,1
38,20081020,1
38,20081027,1
38,20081103,1
38,20081110,1
38,20081117,1
38,20081124,1
40,20081020,1
40,20081027,1
40,20081103,1
40,20081110,1
40,20081117,1
40,20081124,1
41,20081020,1
41,20081027,1
41,20081103,1
41,20081110,1
41,20081117,1
41,20081124,1
42,20081020,1
42,20081027,1
42,20081103,1
42,20081110,1
42,20081117,1
42,20081124,1
44,20081020,2
44,20081027,2
44,20081103,2
44,20081110,2
44,20081117,2
44,20081124,2
53,20081020,1
53,20081027,1
53,20081103,1
53,20081110,1
53,20081117,1
53,20081124,1
54,20081124,2
54,20081125,2
54,20081126,2
54,20081127,2
54,20081128,2
55,20081124,1
55,20081125,1
55,20081126,1
55,20081127,1
55,20081128,1
59,20081020,2
59,20081027,2
59,20081103,2
59,20081110,2
59,20081117,2
59,20081124,2
80,20081020,1
80,20081027,1
80,20081103,1
80,20081110,1
80,20081117,1
80,20081124,1
81,20081020,2
81,20081027,2
81,20081103,2
81,20081110,2
81,20081117,2
81,20081124,2
86,20081020,2
86,20081027,2
86,20081103,2
86,20081110,2
86,20081117,2
86,20081124,2
99,20081027,1
99,20081028,1
99,20081029,1
99,20081030,1
99,20081031,1
99,20081101,1
101,20081024,1
101,20081105,1
101,20081126,1
112,20081024,1
115,20081019,1
116,20081102,1
116,20081109,1
117,20081129,1
130,20081020,2
130,20081027,2
130,20081103,2
130,20081110,2
130,20081117,2
130,20081124,2
