route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url
13350,1,RED,Red Cat To Waca,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=Red CAT&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
5977,1,777,Wellington St Bus Stn - Edith Cowan University Mount Lawley,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=777&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
16573,1,FRE,Fremantle Cat To Fremantle Stn Fremantle,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=Fremantle CAT&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
10730,1,230,Kenwick - Maddington,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=230&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
11815,1,346,Wellington St Bus Stn - Wanneroo,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=346&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
11821,1,347,Warwick Stn - Wellington St Bus Stn,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=347&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
16202,1,373,Kingsway City Shop Ctr - Wellington St Bus Stn,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=373&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
18665,1,BLU,Blue Cat To Esplanade Busport,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=Blue CAT&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12320,1,91,East Perth - City Beach,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=91&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12323,1,91,City Beach - East Perth,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=91&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12537,1,365,Mirrabooka Bus Stn - Kingsway City Shop Ctr,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=365&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12528,1,377,Alexander Heights - Mirrabooka Bus Stn,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=377&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12554,1,276,Wellington St Bus Stn - Osborne Park,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=276&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12555,1,276,Osborne Park - Wellington St Bus Stn,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=276&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12965,1,81,East Perth - City Beach,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=81&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
12971,1,84,East Perth - City Beach,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=84&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
13347,1,372,Darch - Mirrabooka Bus Stn,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=372&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
13482,1,551,Rockingham Stn - Shoalwater,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=551&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
18075,1,413,Stirling Stn - Glendalough Stn,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=413&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
15144,1,411,Scarborough - Stirling Stn,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=411&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
18079,1,412,Stirling Stn - Scarborough,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=412&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
17929,1,JOO,Joondalup Line To Esplanade Stn,,2,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=Joondalup Line&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
14750,1,43,Esplanade Busport - Bayswater,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=43&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
14123,1,28,Claremont Stn - Hale St / Waca,,3,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=28&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
18459,1,MAN,Mandurah Line To Mandurah Stn,,2,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=Mandurah Line&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
18458,1,MAN,Mandurah Line To Perth Underground Stn,,2,http://www.transperth.wa.gov.au/TimeTables/tabid/235/Default.aspx?&TrainVehicleType=true&BusVehicleType=true&find%2btimetables.y=&UserInputServNum=Mandurah Line&find%2btimetables.x=&Direction=outbound&FerryVehicleType=true&Date=13%2f10%2f2008&FromLoc=&UserInputServiceProvider=&SchoolBusVehicleType=false
