route_id,service_id,trip_id,trip_headsign,shape_id
13350,32,47724,To Waca,5122
13350,32,47725,To Waca,5123
13350,32,47726,To Waca,5124
13350,32,47709,To Waca,5132
13350,32,47710,To Waca,5134
13350,20,47711,To Waca,5134
13350,14,47712,To Waca,5134
13350,32,47713,To Waca,5135
5957,14,57720,To Morley Bus Stn,5957
5957,14,57722,To Morley Bus Stn,5957
5957,32,57724,To Morley Bus Stn,5957
5957,14,57725,To Morley Bus Stn,5957
5957,32,57727,To Morley Bus Stn,5957
5957,14,57728,To Morley Bus Stn,5957
5957,32,57730,To Morley Bus Stn,5957
5957,14,57731,To Morley Bus Stn,5957
5957,32,57733,To Morley Bus Stn,5957
5957,14,57735,To Morley Bus Stn,5957
5957,14,57736,To Morley Bus Stn,5957
5957,14,57737,To Morley Bus Stn,5957
5957,14,57738,To Morley Bus Stn,5957
5957,32,57740,To Morley Bus Stn,5957
5957,32,57744,To Morley Bus Stn,5957
5957,32,57745,To Morley Bus Stn,5957
5957,32,57746,To Morley Bus Stn,5957
5957,32,57747,To Morley Bus Stn,5957
5977,54,58158,To Edith Cowan University Mount Lawley,5977
5977,54,58159,To Edith Cowan University Mount Lawley,5977
13350,32,59125,To Perth Red,6054
13350,32,59126,To Perth Red,6054
13350,32,59127,To Perth Red,6054
13350,32,59128,To Perth Red,6054
13350,32,59129,To Perth Red,6054
13350,20,59130,To Perth Red,6054
13350,14,59131,To Perth Red,6054
13350,38,59319,To Perth Red,6054
13350,36,59320,To Perth Red,6054
6356,14,62331,To Mount Lawley,6356
6356,14,62332,To Mount Lawley,6356
6356,14,62333,To Mount Lawley,6356
6356,32,62334,To Mount Lawley,6356
6356,14,62335,To Mount Lawley,6356
6356,32,62336,To Mount Lawley,6356
6356,32,62337,To Mount Lawley,6356
6356,14,62338,To Mount Lawley,6356
6356,32,62339,To Mount Lawley,6356
6356,14,62340,To Mount Lawley,6356
6356,14,62341,To Mount Lawley,6356
6356,14,62342,To Mount Lawley,6356
6356,14,62343,To Mount Lawley,6356
6356,32,62344,To Mount Lawley,6356
6356,32,62345,To Mount Lawley,6356
6356,32,62346,To Mount Lawley,6356
6356,32,62347,To Mount Lawley,6356
6356,32,62348,To Mount Lawley,6356
6356,32,62461,To Mount Lawley,6356
16573,32,67666,To Fremantle Fremantle,6839
16573,33,67667,To Fremantle Fremantle,6839
16573,32,67668,To Fremantle Fremantle,6840
16573,33,67669,To Fremantle Fremantle,6840
8588,32,80977,To Stirling Stn,8588
8588,32,80979,To Stirling Stn,8588
8588,32,80981,To Stirling Stn,8588
8588,32,80983,To Stirling Stn,8588
8588,32,80986,To Stirling Stn,8588
8588,14,80988,To Stirling Stn,8588
8588,32,80990,To Stirling Stn,8588
8588,14,80993,To Stirling Stn,8588
8588,32,80995,To Stirling Stn,8588
8588,14,80997,To Stirling Stn,8588
8588,32,80999,To Stirling Stn,8588
8588,14,81001,To Stirling Stn,8588
8588,32,81003,To Stirling Stn,8588
8588,14,81005,To Stirling Stn,8588
8588,32,81008,To Stirling Stn,8588
8588,32,81010,To Stirling Stn,8588
8588,32,81012,To Stirling Stn,8588
8588,32,81015,To Stirling Stn,8588
8588,32,81017,To Stirling Stn,8588
8590,32,81024,To Wellington St Bus Stn,8590
8590,32,81026,To Wellington St Bus Stn,8590
8590,32,81028,To Wellington St Bus Stn,8590
8590,32,81030,To Wellington St Bus Stn,8590
8590,14,81033,To Wellington St Bus Stn,8590
8590,32,81035,To Wellington St Bus Stn,8590
8590,14,81037,To Wellington St Bus Stn,8590
8590,32,81039,To Wellington St Bus Stn,8590
8590,14,81041,To Wellington St Bus Stn,8590
8590,32,81044,To Wellington St Bus Stn,8590
8590,14,81047,To Wellington St Bus Stn,8590
8590,32,81049,To Wellington St Bus Stn,8590
8590,14,81051,To Wellington St Bus Stn,8590
8590,32,81053,To Wellington St Bus Stn,8590
8590,14,81055,To Wellington St Bus Stn,8590
8590,32,81058,To Wellington St Bus Stn,8590
8590,32,81060,To Wellington St Bus Stn,8590
8590,32,81062,To Wellington St Bus Stn,8590
8590,32,81064,To Wellington St Bus Stn,8590
8594,32,81090,To Morley Bus Stn,8594
8594,32,81091,To Morley Bus Stn,8594
