service_id,date,exception_type
2,20080915,1
2,20080916,1
2,20080917,1
2,20080918,1
2,20080919,1
2,20080922,1
2,20080923,1
2,20080924,1
2,20080925,1
2,20080926,1
2,20080929,1
2,20080930,1
2,20081001,1
2,20081002,1
2,20081003,1
2,20081006,1
2,20081007,1
2,20081008,1
2,20081009,1
2,20081010,1
2,20081013,1
2,20081014,1
2,20081015,1
2,20081016,1
2,20081017,1
2,20081020,1
2,20081021,1
2,20081022,1
2,20081023,1
2,20081024,1
2,20081027,1
2,20081028,1
2,20081029,1
2,20081030,1
2,20081031,1
2,20081103,1
2,20081104,1
2,20081105,1
2,20081106,1
2,20081107,1
2,20081110,1
2,20081111,1
2,20081112,1
2,20081113,1
2,20081114,1
2,20081117,1
2,20081118,1
2,20081119,1
2,20081120,1
2,20081121,1
2,20081124,1
2,20081125,1
2,20081126,1
2,20081128,1
A,20080915,1
A,20080916,1
A,20080917,1
A,20080918,1
A,20080919,1
A,20080922,1
A,20080923,1
A,20080924,1
A,20080925,1
A,20080926,1
A,20080929,1
A,20080930,1
A,20081001,1
A,20081002,1
A,20081003,1
A,20081006,1
A,20081007,1
A,20081008,1
A,20081009,1
A,20081010,1
A,20081013,1
A,20081014,1
A,20081015,1
A,20081016,1
A,20081017,1
A,20081020,1
A,20081021,1
A,20081022,1
A,20081023,1
A,20081024,1
A,20081027,1
A,20081028,1
A,20081029,1
A,20081030,1
A,20081031,1
A,20081103,1
A,20081104,1
A,20081105,1
A,20081106,1
A,20081107,1
A,20081110,1
A,20081111,1
A,20081112,1
A,20081113,1
A,20081114,1
A,20081117,1
A,20081118,1
A,20081119,1
A,20081120,1
A,20081121,1
A,20081124,1
A,20081125,1
A,20081126,1
A,20081128,1
B,20080920,1
B,20080927,1
B,20081004,1
B,20081011,1
B,20081018,1
B,20081025,1
B,20081101,1
B,20081108,1
B,20081115,1
B,20081122,1
B,20081129,1
C,20080914,1
C,20080921,1
C,20080928,1
C,20081005,1
C,20081012,1
C,20081019,1
C,20081026,1
C,20081102,1
C,20081109,1
C,20081116,1
C,20081123,1
F,20080919,1
F,20080926,1
F,20081003,1
F,20081010,1
F,20081017,1
F,20081024,1
F,20081031,1
F,20081107,1
F,20081114,1
F,20081121,1
F,20081128,1
K,20080920,1
K,20080927,1
P,20080919,1
P,20080926,1
P,20081003,1
P,20081010,1
P,20081017,1
P,20081024,1
P,20081031,1
P,20081107,1
P,20081114,1
P,20081121,1
P,20081128,1
S,20080920,1
S,20080927,1
S,20081004,1
S,20081011,1
S,20081018,1
S,20081025,1
S,20081101,1
S,20081108,1
S,20081115,1
S,20081122,1
S,20081129,1
U,20080914,1
U,20080921,1
U,20080928,1
U,20081005,1
U,20081012,1
U,20081019,1
U,20081026,1
U,20081102,1
U,20081109,1
U,20081116,1
U,20081123,1
W,20080915,1
W,20080916,1
W,20080917,1
W,20080918,1
W,20080919,1
W,20080922,1
W,20080923,1
W,20080924,1
W,20080925,1
W,20080926,1
W,20080929,1
W,20080930,1
W,20081001,1
W,20081002,1
W,20081003,1
W,20081006,1
W,20081007,1
W,20081008,1
W,20081009,1
W,20081010,1
W,20081013,1
W,20081014,1
W,20081015,1
W,20081016,1
W,20081017,1
W,20081020,1
W,20081021,1
W,20081022,1
W,20081023,1
W,20081024,1
W,20081027,1
W,20081028,1
W,20081029,1
W,20081030,1
W,20081031,1
W,20081103,1
W,20081104,1
W,20081105,1
W,20081106,1
W,20081107,1
W,20081110,1
W,20081111,1
W,20081112,1
W,20081113,1
W,20081114,1
W,20081117,1
W,20081118,1
W,20081119,1
W,20081120,1
W,20081121,1
W,20081124,1
W,20081125,1
W,20081126,1
W,20081128,1
X,20081127,1
d,20080921,1
f,20080915,1
f,20080916,1
f,20080917,1
f,20080918,1
f,20080922,1
f,20080923,1
f,20080924,1
f,20080925,1
f,20080929,1
f,20080930,1
f,20081001,1
f,20081002,1
f,20081006,1
f,20081007,1
f,20081008,1
f,20081009,1
f,20081013,1
f,20081014,1
f,20081015,1
f,20081016,1
f,20081020,1
f,20081021,1
f,20081022,1
f,20081023,1
f,20081027,1
f,20081028,1
f,20081029,1
f,20081030,1
f,20081103,1
f,20081104,1
f,20081105,1
f,20081106,1
f,20081110,1
f,20081111,1
f,20081112,1
f,20081113,1
f,20081117,1
f,20081118,1
f,20081119,1
f,20081120,1
f,20081124,1
f,20081125,1
f,20081126,1
k,20080914,1
k,20080921,1
k,20080928,1
p,20080915,1
p,20080916,1
p,20080917,1
p,20080918,1
p,20080922,1
p,20080923,1
p,20080924,1
p,20080925,1
p,20080929,1
p,20080930,1
p,20081001,1
p,20081002,1
p,20081006,1
p,20081007,1
p,20081008,1
p,20081009,1
p,20081013,1
p,20081014,1
p,20081015,1
p,20081016,1
p,20081020,1
p,20081021,1
p,20081022,1
p,20081023,1
p,20081027,1
p,20081028,1
p,20081029,1
p,20081030,1
p,20081103,1
p,20081104,1
p,20081105,1
p,20081106,1
p,20081110,1
p,20081111,1
p,20081112,1
p,20081113,1
p,20081117,1
p,20081118,1
p,20081119,1
p,20081120,1
p,20081124,1
p,20081125,1
p,20081126,1
