fare_id,route_id,contains_id,service_id
0,4,0,
30,4,1,S
32,4,2,S
34,4,3,S
36,4,0,S
36,4,1,S
38,4,0,S
38,4,2,S
40,4,0,S
40,4,3,S
42,4,1,S
42,4,2,S
44,4,1,S
44,4,3,S
46,4,2,S
46,4,3,S
48,4,0,S
48,4,1,S
48,4,2,S
50,4,0,S
50,4,1,S
50,4,3,S
52,4,0,S
52,4,2,S
52,4,3,S
54,4,1,S
54,4,2,S
54,4,3,S
56,4,0,S
56,4,1,S
56,4,2,S
56,4,3,S
30,4,1,U
32,4,2,U
34,4,3,U
36,4,0,U
36,4,1,U
38,4,0,U
38,4,2,U
40,4,0,U
40,4,3,U
42,4,1,U
42,4,2,U
44,4,1,U
44,4,3,U
46,4,2,U
46,4,3,U
48,4,0,U
48,4,1,U
48,4,2,U
50,4,0,U
50,4,1,U
50,4,3,U
52,4,0,U
52,4,2,U
52,4,3,U
54,4,1,U
54,4,2,U
54,4,3,U
56,4,0,U
56,4,1,U
56,4,2,U
56,4,3,U
2,4,1,W
4,4,2,W
6,4,3,W
8,4,0,W
8,4,1,W
10,4,0,W
10,4,2,W
12,4,0,W
12,4,3,W
14,4,1,W
14,4,2,W
16,4,1,W
16,4,3,W
18,4,2,W
18,4,3,W
20,4,0,W
20,4,1,W
20,4,2,W
22,4,0,W
22,4,1,W
22,4,3,W
24,4,0,W
24,4,2,W
24,4,3,W
26,4,1,W
26,4,2,W
26,4,3,W
28,4,0,W
28,4,1,W
28,4,2,W
28,4,3,W
30,4,1,X
32,4,2,X
34,4,3,X
36,4,0,X
36,4,1,X
38,4,0,X
38,4,2,X
40,4,0,X
40,4,3,X
42,4,1,X
42,4,2,X
44,4,1,X
44,4,3,X
46,4,2,X
46,4,3,X
48,4,0,X
48,4,1,X
48,4,2,X
50,4,0,X
50,4,1,X
50,4,3,X
52,4,0,X
52,4,2,X
52,4,3,X
54,4,1,X
54,4,2,X
54,4,3,X
56,4,0,X
56,4,1,X
56,4,2,X
56,4,3,X
0,6,0,
30,6,1,S
32,6,2,S
34,6,3,S
36,6,0,S
36,6,1,S
38,6,0,S
38,6,2,S
40,6,0,S
40,6,3,S
42,6,1,S
42,6,2,S
44,6,1,S
44,6,3,S
46,6,2,S
46,6,3,S
48,6,0,S
48,6,1,S
48,6,2,S
50,6,0,S
50,6,1,S
50,6,3,S
52,6,0,S
52,6,2,S
52,6,3,S
54,6,1,S
54,6,2,S
54,6,3,S
56,6,0,S
56,6,1,S
56,6,2,S
56,6,3,S
30,6,1,U
32,6,2,U
34,6,3,U
36,6,0,U
36,6,1,U
38,6,0,U
38,6,2,U
40,6,0,U
40,6,3,U
42,6,1,U
42,6,2,U
44,6,1,U
44,6,3,U
46,6,2,U
46,6,3,U
48,6,0,U
48,6,1,U
48,6,2,U
50,6,0,U
50,6,1,U
50,6,3,U
52,6,0,U
52,6,2,U
52,6,3,U
54,6,1,U
54,6,2,U
54,6,3,U
56,6,0,U
56,6,1,U
56,6,2,U
56,6,3,U
2,6,1,W
4,6,2,W
6,6,3,W
8,6,0,W
8,6,1,W
10,6,0,W
10,6,2,W
12,6,0,W
12,6,3,W
14,6,1,W
14,6,2,W
16,6,1,W
16,6,3,W
18,6,2,W
18,6,3,W
20,6,0,W
20,6,1,W
20,6,2,W
22,6,0,W
22,6,1,W
22,6,3,W
24,6,0,W
24,6,2,W
24,6,3,W
26,6,1,W
26,6,2,W
26,6,3,W
28,6,0,W
28,6,1,W
28,6,2,W
28,6,3,W
30,6,1,X
32,6,2,X
34,6,3,X
36,6,0,X
36,6,1,X
38,6,0,X
38,6,2,X
40,6,0,X
40,6,3,X
42,6,1,X
42,6,2,X
44,6,1,X
44,6,3,X
46,6,2,X
46,6,3,X
48,6,0,X
48,6,1,X
