route_id,route_short_name,route_long_name,route_type,route_url,route_color
4,4,Fessenden,3,http://trimet.org/schedules/r004.htm,
6,6,Martin Luther King Jr Blvd,3,http://trimet.org/schedules/r006.htm,
8,8,NE 15th Ave,3,http://trimet.org/schedules/r008.htm,
9,9,Broadway,3,http://trimet.org/schedules/r009.htm,
10,10,NE 33rd Ave,3,http://trimet.org/schedules/r010.htm,
12,12,Barbur Blvd,3,http://trimet.org/schedules/r012.htm,
14,14,Hawthorne,3,http://trimet.org/schedules/r014.htm,
15,15,Belmont,3,http://trimet.org/schedules/r015.htm,
16,16,Front Ave/St Johns,3,http://trimet.org/schedules/r016.htm,
17,17,NW 21st Ave/St Helens Rd,3,http://trimet.org/schedules/r017.htm,
18,18,Hillside,3,http://trimet.org/schedules/r018.htm,
19,19,Glisan,3,http://trimet.org/schedules/r019.htm,
20,20,Burnside/Stark,3,http://trimet.org/schedules/r020.htm,
22,22,Parkrose,3,http://trimet.org/schedules/r022.htm,
23,23,San Rafael,3,http://trimet.org/schedules/r023.htm,
25,25,Glisan/Rockwood,3,http://trimet.org/schedules/r025.htm,
27,27,Market/Main,3,http://trimet.org/schedules/r027.htm,
29,29,Lake/Webster Rd,3,http://trimet.org/schedules/r029.htm,
31,31,Estacada,3,http://trimet.org/schedules/r031.htm,
32,32,Oatfield,3,http://trimet.org/schedules/r032.htm,
33,33,McLoughlin,3,http://trimet.org/schedules/r033.htm,
34,34,River Rd,3,http://trimet.org/schedules/r034.htm,
35,35,Macadam,3,http://trimet.org/schedules/r035.htm,
36,36,South Shore,3,http://trimet.org/schedules/r036.htm,
37,37,Lake Grove,3,http://trimet.org/schedules/r037.htm,
38,38,Boones Ferry Rd,3,http://trimet.org/schedules/r038.htm,
39,39,Lewis & Clark,3,http://trimet.org/schedules/r039.htm,
41,41,Tacoma,3,http://trimet.org/schedules/r041.htm,
43,43,Taylors Ferry Rd,3,http://trimet.org/schedules/r043.htm,
44,44,Capitol Hwy,3,http://trimet.org/schedules/r044.htm,
45,45,Garden Home,3,http://trimet.org/schedules/r045.htm,
46,46,North Hillsboro,3,http://trimet.org/schedules/r046.htm,
47,47,Baseline/Evergreen,3,http://trimet.org/schedules/r047.htm,
48,48,Cornell,3,http://trimet.org/schedules/r048.htm,
51,51,Vista,3,http://trimet.org/schedules/r051.htm,
52,52,Farmington/185th Ave,3,http://trimet.org/schedules/r052.htm,
53,53,Arctic/Allen,3,http://trimet.org/schedules/r053.htm,
54,54,Beaverton-Hillsdale Hwy,3,http://trimet.org/schedules/r054.htm,
55,55,Hamilton,3,http://trimet.org/schedules/r055.htm,
56,56,Scholls Ferry Rd,3,http://trimet.org/schedules/r056.htm,
57,57,TV Hwy/Forest Grove,3,http://trimet.org/schedules/r057.htm,
58,58,Canyon Rd,3,http://trimet.org/schedules/r058.htm,
59,59,Walker/Park Way,3,http://trimet.org/schedules/r059.htm,
60,60,Leahy Rd,3,http://trimet.org/schedules/r060.htm,
61,61,Marquam Hill/Beaverton TC,3,http://trimet.org/schedules/r061.htm,
