from_stop_id,to_stop_id,from_route_id,to_route_id,transfer_type
88,3153,4,72,0
88,3154,4,72,0
89,3153,4,72,0
89,3154,4,72,0
90,3452,4,6,0
90,3452,4,75,0
90,3453,4,6,0
90,3453,4,75,0
93,3452,4,6,0
93,3452,4,75,0
93,3453,4,6,0
93,3453,4,75,0
1097,1097,4,74,0
1097,1097,4,144,0
1097,2592,4,8,0
1097,2592,4,10,0
1097,2592,4,77,0
1097,2592,4,85,0
1097,2592,4,144,0
1097,8340,4,90,0
1097,8340,4,93,0
1097,8340,4,100,0
1097,8340,4,190,0
1097,8377,4,90,0
1097,8377,4,93,0
1097,8377,4,100,0
1097,8377,4,190,0
1097,11507,4,100,0
1097,11507,4,190,0
1097,11508,4,100,0
1097,11508,4,190,0
1097,11813,4,133,0
1097,11813,4,135,0
1097,11814,4,133,0
1097,11814,4,135,0
1097,11817,4,8,0
1097,11817,4,10,0
1097,11817,4,70,0
1097,11817,4,77,0
1712,1712,4,16,0
1712,1713,4,4,0
1712,1713,4,16,0
1713,1712,4,4,0
1713,1712,4,16,0
1713,1713,4,16,0
2317,4435,4,4,0
2592,2592,4,8,0
2592,2592,4,10,0
2592,2592,4,77,0
2592,2592,4,85,0
2592,2592,4,144,0
2592,8340,4,90,0
2592,8340,4,93,0
2592,8340,4,100,0
2592,8340,4,190,0
2592,8377,4,90,0
2592,8377,4,93,0
2592,8377,4,100,0
2592,8377,4,190,0
2592,11507,4,100,0
2592,11507,4,190,0
2592,11508,4,100,0
2592,11508,4,190,0
2592,11817,4,70,0
3221,1296,4,6,0
3221,1297,4,6,0
3222,1296,4,6,0
3222,1297,4,6,0
3465,3465,4,17,0
3465,3465,4,75,0
3465,3465,4,144,0
3465,3467,4,17,0
3465,3467,4,75,0
3465,3467,4,144,0
3467,3465,4,17,0
3467,3465,4,75,0
3467,3465,4,144,0
3467,3467,4,17,0
3467,3467,4,75,0
3467,3467,4,144,0
3489,3489,4,6,0
3489,3489,4,75,0
3506,3506,4,6,0
3506,3506,4,75,0
3506,3507,4,6,0
3506,3507,4,75,0
3506,11501,4,190,0
3506,11514,4,190,0
3507,3506,4,6,0
3507,3506,4,75,0
3507,3507,4,6,0
3507,3507,4,75,0
3507,11501,4,190,0
3507,11514,4,190,0
3525,3525,4,75,0
3525,3525,4,144,0
4435,2317,4,4,0
5372,9505,4,75,0
5372,9505,4,144,0
6000,1848,4,133,0
6000,6000,4,133,0
6000,6000,4,144,0
