trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type
371A53B29,05:20:00,05:20:00,1557,1,,0,0
371A53B29,05:21:00,05:21:00,1568,2,,0,0
371A53B29,05:21:30,05:21:30,1554,3,,0,0
371A53B29,05:22:00,05:22:00,1555,4,,0,0
371A53B29,05:23:00,05:23:00,1556,5,,0,0
371A53B29,05:25:00,05:25:00,1547,6,,0,0
371A53B29,05:27:00,05:27:00,1526,7,,0,0
371A53B29,05:28:00,05:28:00,1575,8,,0,0
371A53B29,06:03:00,06:03:00,1576,9,,0,0
371A53B29,06:04:00,06:04:00,1553,10,,0,0
371A53B29,06:10:00,06:10:00,1533,11,,0,0
372A53B29,07:00:00,07:00:00,1557,1,,0,0
372A53B29,07:01:00,07:01:00,1568,2,,0,0
372A53B29,07:01:30,07:01:30,1554,3,,0,0
372A53B29,07:02:00,07:02:00,1555,4,,0,0
372A53B29,07:03:00,07:03:00,1556,5,,0,0
372A53B29,07:05:00,07:05:00,1547,6,,0,0
372A53B29,07:07:00,07:07:00,1526,7,,0,0
372A53B29,07:08:00,07:08:00,1575,8,,0,0
372A53B29,07:38:00,07:38:00,1576,9,,0,0
372A53B29,07:39:00,07:39:00,1553,10,,0,0
372A53B29,07:41:00,07:41:00,1561,11,,0,0
372A53B29,07:41:30,07:41:30,1562,12,,0,0
372A53B29,07:44:00,07:44:00,1560,13,,0,0
372A53B29,07:44:30,07:44:30,1528,14,,0,0
372A53B29,07:46:00,07:46:00,1560,15,,0,0
372A53B29,07:55:00,07:55:00,1533,16,,0,0
373A53B29,08:00:00,08:00:00,1533,1,,0,0
373A53B29,08:03:00,08:03:00,1546,2,,0,0
373A53B29,08:07:00,08:07:00,1553,3,,0,0
373A53B29,08:08:00,08:08:00,1576,4,,0,0
373A53B29,08:36:00,08:36:00,1526,5,,0,0
373A53B29,08:38:00,08:38:00,1575,6,,0,0
373A53B29,08:42:00,08:42:00,1547,7,,0,0
373A53B29,08:42:30,08:42:30,1556,8,,0,0
373A53B29,08:43:00,08:43:00,1555,9,,0,0
373A53B29,08:44:00,08:44:00,1537,10,,0,0
373A53B29,08:45:00,08:45:00,1557,11,,0,0
373A53B29,08:46:00,08:46:00,1552,12,,0,0
373A53B29,08:47:00,08:47:00,1577,13,,0,0
373A53B29,09:00:00,09:00:00,1538,14,,0,0
374A53B29,09:00:00,09:00:00,1538,1,,0,0
374A53B29,09:10:00,09:10:00,1563,2,,0,0
374A53B29,09:11:00,09:11:00,1552,3,,0,0
374A53B29,09:13:00,09:13:00,1568,4,,0,0
374A53B29,09:13:30,09:13:30,1554,5,,0,0
374A53B29,09:14:00,09:14:00,1537,6,,0,0
374A53B29,09:15:00,09:15:00,1557,7,,0,0
374A53B29,09:16:00,09:16:00,1568,8,,0,0
374A53B29,09:17:00,09:17:00,1554,9,,0,0
374A53B29,09:18:00,09:18:00,1555,10,,0,0
374A53B29,09:18:30,09:18:30,1556,11,,0,0
374A53B29,09:20:00,09:20:00,1547,12,,0,0
374A53B29,09:29:00,09:29:00,1526,13,,0,0
374A53B29,09:30:00,09:30:00,1575,14,,0,0
374A53B29,09:50:00,09:50:00,1540,15,,0,0
374A53B29,10:10:00,10:10:00,1576,16,,0,0
374A53B29,10:11:00,10:11:00,1553,17,,0,0
374A53B29,10:22:00,10:22:00,1561,18,,0,0
374A53B29,10:23:00,10:23:00,1562,19,,0,0
374A53B29,10:24:00,10:24:00,1560,20,,0,0
374A53B29,10:25:00,10:25:00,1528,21,,0,0
374A53B29,10:27:00,10:27:00,1560,22,,0,0
374A53B29,10:40:00,10:40:00,1533,23,,0,0
375A53B29,14:30:00,14:30:00,1538,1,,0,0
375A53B29,14:41:00,14:41:00,1563,2,,0,0
375A53B29,14:42:00,14:42:00,1552,3,,0,0
375A53B29,14:42:30,14:42:30,1568,4,,0,0
375A53B29,14:43:00,14:43:00,1554,5,,0,0
375A53B29,14:44:00,14:44:00,1537,6,,0,0
375A53B29,14:45:00,14:45:00,1557,7,,0,0
375A53B29,14:46:00,14:46:00,1568,8,,0,0
375A53B29,14:47:00,14:47:00,1554,9,,0,0
375A53B29,14:48:00,14:48:00,1555,10,,0,0
375A53B29,14:48:30,14:48:30,1556,11,,0,0
375A53B29,14:50:00,14:50:00,1547,12,,0,0
375A53B29,15:04:00,15:04:00,1526,13,,0,0
375A53B29,15:05:00,15:05:00,1575,14,,0,0
376A53B29,16:30:00,16:30:00,1557,1,,0,0
376A53B29,16:31:00,16:31:00,1568,2,,0,0
376A53B29,16:31:30,16:31:30,1554,3,,0,0
376A53B29,16:32:00,16:32:00,1555,4,,0,0
376A53B29,16:32:30,16:32:30,1556,5,,0,0
376A53B29,16:34:00,16:34:00,1547,6,,0,0
376A53B29,16:37:00,16:37:00,1526,7,,0,0
