stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_code
102,OLMSTEAD DR & FAIRBANKS AVE,Buses head NB,38.625807,-121.460055,0,102
103,NORTHGATE BLVD & WINTER GARDEN AVE,Buses head NB,38.625807,-121.475353,0,103
105,I-5 FWY & SEAMAS AVE,Buses head NB,38.525745,-121.520592,0,105
107,Q ST & 5TH ST,Buses head EB,38.574230,-121.503227,2,107
108,Q ST & 7TH ST,Buses head EB,38.573513,-121.500527,2,108
109,Q ST & 9TH ST,Buses head EB,38.572819,-121.497856,2,109
110,Q ST & 10TH ST,Buses head EB,38.572495,-121.496666,2,110
111,Q ST & 11TH ST,Buses head EB,38.572105,-121.495422,2,111
112,Q ST & 13TH ST,Buses head EB,38.571343,-121.492424,2,112
113,15TH ST & K ST,Buses head SB,38.577812,-121.486961,2,113
114,I ST & 8TH ST,Buses head WB,38.582474,-121.496834,2,114
116,3RD ST & K ST,Buses head NB,38.581653,-121.503130,2,116
117,3RD ST & J ST,Buses head NB,38.582054,-121.503006,2,117
118,9TH ST & K ST,Buses head SB,38.579250,-121.495529,2,118
119,9TH ST & L ST,Buses head SB,38.578034,-121.496040,2,119
120,9TH ST & CAPITOL AVE,Buses head SB,38.576920,-121.496513,2,120
121,9TH ST & N ST,Buses head SB,38.576031,-121.496941,2,121
122,9TH ST & O ST,Buses head SB,38.574951,-121.497376,2,122
123,9TH ST & Q ST,Buses head SB,38.572679,-121.498350,2,123
125,9TH ST & T ST,Buses head SB,38.569313,-121.499817,2,125
126,9TH ST & V ST,Buses head SB,38.567246,-121.500717,2,126
127,9TH ST & W ST,Buses head SB,38.566151,-121.501259,2,127
128,BROADWAY & 10TH ST,Buses head EB,38.563839,-121.501083,2,128
130,RIVERSIDE BLVD & BROADWAY,Buses head SB,38.562756,-121.498886,0,130
131,RIVERSIDE BLVD & BEVERLY WAY,Buses head SB,38.561062,-121.499649,0,131
132,RIVERSIDE BLVD & CASTRO WAY,Buses head SB,38.559460,-121.500572,0,132
133,RIVERSIDE BLVD & FREMONT WAY,Buses head SB,38.557182,-121.501877,0,133
134,RIVERSIDE BLVD & 3RD AVE,Buses head SB,38.555843,-121.502678,0,134
135,RIVERSIDE BLVD & SWANSTON DR,Buses head SB,38.554222,-121.503639,0,135
136,RIVERSIDE BLVD & MARIAN WAY,Buses head SB,38.552261,-121.504776,0,136
137,RIVERSIDE BLVD & 6TH AVE,Buses head SB,38.551373,-121.505272,0,137
138,RIVERSIDE BLVD & 8TH AVE,Buses head SB,38.549553,-121.506332,0,138
139,RIVERSIDE BLVD & 10TH AVE,Buses head SB,38.547730,-121.507477,0,139
141,RIVERSIDE BLVD & DARNEL WAY,Buses head SB,38.543701,-121.508957,0,141
142,RIVERSIDE BLVD & SHERBURN AVE,Buses head SB,38.541939,-121.509415,0,142
143,RIVERSIDE BLVD & SUTTERVILLE RD,Buses head SB,38.540775,-121.509827,0,143
144,RIVERSIDE BLVD & SUTTERVILLE RD 2,Buses head SB,38.539291,-121.511589,0,144
145,RIVERSIDE BLVD & BROWNWYK DR,Buses head SB,38.537777,-121.513397,0,145
146,RIVERSIDE BLVD & DERICK WAY,Buses head SB,38.536514,-121.514763,0,146
147,RIVERSIDE BLVD & 25TH AVE,Buses head SB,38.534294,-121.516190,0,147
148,RIVERSIDE BLVD & RIO LN,Buses head SB,38.531990,-121.518105,0,148
149,RIVERSIDE BLVD & PIEDMONT DR,Buses head SB,38.530350,-121.518425,0,149
150,RIVERSIDE BLVD & CASILADA WAY,Buses head SB,38.529118,-121.519249,0,150
151,RIVERSIDE BLVD & DORSET WAY,Buses head SB,38.527191,-121.521141,0,151
152,RIVERSIDE BLVD & SURF WAY,Buses head SB,38.524288,-121.522385,0,152
153,35TH AVE & RIVERSIDE BLVD,Buses head EB,38.523098,-121.521843,0,153
154,35TH AVE & LONSDALE DR,Buses head EB,38.522359,-121.518306,0,154
155,35TH AVE & GLORIA DR,Buses head EB,38.521542,-121.514282,0,155
156,RIVERSIDE BLVD & SEAMAS AVE,Buses head SB,38.525379,-121.522408,0,156
157,RIVERSIDE BLVD & FLORIN RD,Buses head WB,38.510010,-121.543228,0,157
158,RIVERSIDE BLVD & PARK RIVIERA WAY,Buses head WB,38.508339,-121.544983,0,158
159,RIVERSIDE BLVD & GALLEY CT,Buses head WB,38.506664,-121.544922,0,159
160,RIVERSIDE BLVD & ASHORE WAY,Buses head WB,38.504536,-121.546158,0,160
161,RIVERSIDE BLVD & ORLEANS WAY,Buses head WB,38.501598,-121.548676,0,161
162,RIVERSIDE BLVD & RIVERTREE WAY,Buses head WB,38.498074,-121.551804,0,162
163,POCKET RD & PORTINAO CIR 1,Buses head SB,38.495808,-121.553009,0,163
164,POCKET RD & PORTINAO CIR 2,Buses head SB,38.494270,-121.552528,0,164
165,POCKET RD & RIVER ISLE WAY,Buses head EB,38.491070,-121.550842,0,165
166,POCKET RD & PINIOS RIVER CT,Buses head SB,38.486843,-121.547821,0,166
167,POCKET RD & HATTERAS WAY,Buses head SB,38.485031,-121.546150,0,167
168,POCKET RD & BLUE DOLPHIN WAY,Buses head SB,38.480396,-121.540794,0,168
169,POCKET RD & BLACKWATER WAY,Buses head WB,38.478485,-121.537254,0,169
170,POCKET RD & WEST SHORE DR,Buses head EB,38.476799,-121.532997,0,170
171,POCKET RD & EAST SHORE DR,Buses head EB,38.478218,-121.520729,0,171
172,POCKET RD & GREENHAVEN DR,Buses head EB,38.480805,-121.515205,0,172
173,POCKET RD & RIVER VILLAGE DR,Buses head SB,38.482952,-121.543899,0,173
175,HAVENSIDE DR & RIVERSIDE BLVD,Buses head SB,38.513241,-121.532623,0,175
178,HAVENSIDE DR & SAIL CT,Buses head SB,38.507832,-121.531197,0,178
179,GLORIA DR & HAVENSIDE DR,Buses head EB,38.505993,-121.530027,0,179
180,GLORIA DR & SENIOR WAY,Buses head EB,38.506619,-121.527573,0,180
181,GLORIA DR & TRESTLE GLEN WAY,Buses head EB,38.506985,-121.526405,0,181
182,GREENHAVEN DR & GLORIA RD,Buses head NB,38.508587,-121.524045,0,182
183,GREENHAVEN DR & SUNLIT CIR,Buses head NB,38.509778,-121.523624,0,183
184,GREENHAVEN DR & LEAF AVE,Buses head NB,38.511677,-121.524684,0,184
185,GREENHAVEN DR & ROYAL GREEN AVE,Buses head NB,38.512858,-121.525456,0,185
186,GREENHAVEN DR & RIVERSIDE BLVD,Buses head NB,38.514553,-121.527244,0,186
187,43RD AVE & JOHNFER WAY,Buses head EB,38.515766,-121.524597,0,187
188,43RD AVE & VALINE CT,Buses head EB,38.516098,-121.522850,0,188
189,43RD AVE & WOODSHIRE WAY,Buses head EB,38.516205,-121.519508,0,189
190,GLORIA DR & LAKE GLEN WAY,Buses head NB,38.518273,-121.518466,0,190
191,GLORIA DR & LAKE CREST WAY,Buses head NB,38.519467,-121.516278,0,191
192,GLORIA DR & 35TH AVE,Buses head NB,38.520911,-121.514178,0,192
193,35TH AVE & LONSDALE DR,Buses head WB,38.522642,-121.518885,0,193
194,35TH AVE & RIVERSIDE BLVD,Buses head WB,38.523215,-121.521674,0,194
195,RIVERSIDE BLVD & SURF WAY,Buses head NB,38.524010,-121.522203,0,195
196,RIVERSIDE BLVD & SEAMAS AVE,Buses head NB,38.525459,-121.522301,0,196
197,RIVERSIDE BLVD & DORSET WAY,Buses head NB,38.526936,-121.521240,0,197
198,RIVERSIDE BLVD & CASILADA WAY,Buses head NB,38.528713,-121.519244,0,198
199,RIVERSIDE BLVD & PIEDMONT DR,Buses head NB,38.530299,-121.518260,0,199
200,RIVERSIDE BLVD & RIO LN,Buses head NB,38.531854,-121.517909,0,200
201,RIVERSIDE BLVD & WEBER WAY,Buses head NB,38.534646,-121.515943,0,201
202,RIVERSIDE BLVD & DERICK WAY,Buses head NB,38.536419,-121.514687,0,202
203,RIVERSIDE BLVD & BROWNWYK DR,Buses head NB,38.537601,-121.513378,0,203
204,RIVERSIDE BLVD & SUTTERVILLE RD 1,Buses head NB,38.539116,-121.511627,0,204
205,RIVERSIDE BLVD & SUTTERVILLE RD 2,Buses head NB,38.539984,-121.510296,0,205
206,RIVERSIDE BLVD & SHERBURN AVE,Buses head NB,38.541811,-121.509165,0,206
207,RIVERSIDE BLVD & DARNEL WAY,Buses head NB,38.543481,-121.508749,0,207
208,RIVERSIDE BLVD & 12TH AVE,Buses head NB,38.546523,-121.508030,0,208
209,RIVERSIDE BLVD & 10TH AVE,Buses head NB,38.548241,-121.506933,0,209
210,RIVERSIDE BLVD & 8TH AVE,Buses head NB,38.549827,-121.505973,0,210
211,RIVERSIDE BLVD & PERKINS WAY,Buses head NB,38.551396,-121.505066,0,211
212,RIVERSIDE BLVD & MARIAN WAY,Buses head NB,38.552275,-121.504557,0,212
213,RIVERSIDE BLVD & SWANSTON DR,Buses head NB,38.554114,-121.503449,0,213
214,RIVERSIDE BLVD & 3RD AVE,Buses head NB,38.555736,-121.502507,0,214
215,RIVERSIDE BLVD & FREMONT WAY,Buses head NB,38.556963,-121.501807,0,215
216,RIVERSIDE BLVD & CASTRO WAY,Buses head NB,38.558471,-121.500925,0,216
217,RIVERSIDE BLVD & 2ND AVE,Buses head NB,38.559650,-121.500230,0,217
218,RIVERSIDE BLVD & BEVERLY WAY,Buses head NB,38.560872,-121.499514,0,218
219,RIVERSIDE BLVD & BROADWAY,Buses head NB,38.561969,-121.498919,0,219
221,7TH ST & G ST,Buses head SB,38.584949,-121.495959,2,221
222,7TH ST & H ST,Buses head SB,38.583336,-121.496719,2,222
223,7TH ST & I ST,Buses head SB,38.581947,-121.497269,2,223
224,7TH ST & K ST,Buses head SB,38.579952,-121.498200,2,224
225,7TH ST & CAPITOL AVE,Buses head SB,38.577652,-121.499153,2,225
226,7TH ST & O ST,Buses head SB,38.575760,-121.499947,2,226
227,BROADWAY & RIVERSIDE BLVD,Buses head EB,38.562885,-121.497604,2,227
228,BROADWAY & 14TH ST,Buses head EB,38.562191,-121.494866,2,228
229,BROADWAY & 15TH ST,Buses head EB,38.561901,-121.493774,2,229
230,BROADWAY & 17TH ST,Buses head EB,38.561192,-121.490929,2,230
