route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
8663,YRT,001,HIGHWAY 7,,3,,0000FF,FFFFFF
8664,YRT,002,MILLIKEN,,3,,00FFFF,FFFFFF
8665,YRT,002A,14TH AVENUE,,3,,00FFFF,FFFFFF
8666,YRT,003,THORNHILL - YORK UNIVERSITY,,3,,00FFFF,FFFFFF
8667,YRT,003B,THORNHILL-YORK UNIVERSITY,,3,,00FFFF,FFFFFF
8668,YRT,004,MAJOR MACKENZIE,,3,,00FFFF,FFFFFF
8669,YRT,004A,MAJOR MACKENZIE,,3,,00FFFF,FFFFFF
8670,YRT,005,CLARK,,3,,00FFFF,FFFFFF
8671,YRT,007,MARTIN GROVE,,3,,00FFFF,FFFFFF
8672,YRT,008,KENNEDY ROAD,,3,,00FFFF,FFFFFF
8673,YRT,009,9TH LINE,,3,,FF0000,FFFFFF
8674,YRT,010,YORK UNIVERSITY-WOODBRIDGE,,3,,00FFFF,FFFFFF
8675,YRT,011,WOODBRIDGE,,3,,00FFFF,FFFFFF
8676,YRT,012,PINE VALLEY,,3,,00FFFF,FFFFFF
8677,YRT,013,ISLINGTON,,3,,00FFFF,FFFFFF
8678,YRT,015,STOUFFVILLE LOCAL,,3,,FF0000,FFFFFF
8679,YRT,017A,TTC BIRCHMOUNT,,3,,FF0000,FFFFFF
8680,YRT,018,BUR OAK,,3,,00FFFF,FFFFFF
8681,YRT,020,JANE-CONCORD,,3,,00FFFF,FFFFFF
8682,YRT,022,KING CITY,,3,,00FFFF,FFFFFF
8683,YRT,0224B,WOODBINE AVENUE,,3,,00FFFF,FFFFFF
8684,YRT,023,THORNHILL WOODS,,3,,00FFFF,FFFFFF
8685,YRT,024D,TTC VICTORIA PARK,,3,,FF0000,FFFFFF
8686,YRT,025D,TTC DON MILLS,,3,,FF0000,FFFFFF
8687,YRT,027,HIGHWAY 27,,3,,00FFFF,FFFFFF
8808,YRT,027x,HIGHWAY 27 -STK,,3,,000000,FFFFFF
8688,YRT,028,ZENWAY-HIGHWAY 7,,3,,0000FF,FFFFFF
8689,YRT,031,AURORA NORTH,,3,,00FFFF,FFFFFF
8690,YRT,032,AURORA SOUTH,,3,,00FFFF,FFFFFF
