stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
9,WARDEN / DENISON,WARDEN AVE E & Denison Street,43.827697,-79.326723,,
210,PINE VALLEY / HWY 7,HWY 7 & Pine Valley Drive,43.784173,-79.572422,,
249,LESLIE / HWY 7,HWY 7 & Leslie Street,43.844345,-79.383107,,
366,WEST BEAVER CRK / HWY 7,WEST BEAVER CREEK & West Beaver Creek,43.843653,-79.386157,,
368,HWY 7 / ANSLEY GROVE,ANSLEY GROVE ROAD & Ansley Grove,43.787918,-79.555353,,
420,YONGE / CENTRE,YONGE ST W & Centre Street,43.816168,-79.424362,,
422,PROMENADE TERMINAL PLATFORM 7,CENTRE STREET & Promenade Terminal,43.80938,-79.454322,,
429,HWY 7 / ISLINGTON,HIGHWAY 7 & Islington Avenue,43.78047,-79.589548,,
430,WESTON / HWY 7,HIGHWAY 7 & Weston Road,43.789157,-79.547867,,
493,YONGE / MAJOR MACKENZIE,YONGE ST SOUTH & Major MacKenzie Drive,43.870687,-79.437222,,
496,YONGE / ROYAL ORCHARD,YONGE ST SOUTH & Royal Orchard Blvd.,43.822297,-79.426005,,
497,YONGE / ROYAL ORCHARD,YONGE STREET & Royal Orchard Blvd.,43.822633,-79.425788,,
571,YONGE / BANTRY,YONGE ST SOUTH & Bantry-Scott,43.846567,-79.43159,,
572,YONGE / WELDRICK,YONGE ST SOUTH & Weldrick Road,43.859653,-79.434728,,
573,RICHMOND HILL CENTRE PLATFORM 3,YONGE ST & Richmond Hill Centre,43.839944,-79.425384,,
574,YONGE / CROSBY,YONGE ST SOUTH & Crosby Avenue,43.8795,-79.439322,,
575,FINCH GO BUS TERMINAL PLATFORM 2,ACCESS WAYS,43.782291,-79.415731,,
586,YONGE / ELGIN MILLS,YONGE ST SOUTH & Elgin Mills Road,43.888958,-79.441512,,
588,YONGE / KING ROAD,KING RD W & King Road,43.944757,-79.45489,,
589,YONGE / BLOOMINGTON,YONGE ST E & Bloomington Road,43.963173,-79.459027,,
590,YONGE / HENDERSON,YONGE ST E & Henderson Drive,43.983197,-79.46372,,
592,YONGE / EAGLE,YONGE ST & EAGLE ST W,44.045551,-79.478361,,
594,YONGE / STEELES,YONGE ST SOUTH & Steeles Avenue,43.798263,-79.420268,,
610,YONGE / GOLF LINKS,YONGE ST & Golf Links Drive,43.99008,-79.465388,,
611,YONGE / WELLINGTON,YONGE STREET & Wellington Street,44.000178,-79.46778,,
612,YONGE / ORCH HTS BLVD,ORCHARD HEIGHTS BOULEVARD & Orchard Heights,44.00852,-79.469833,,
613,YONGE / MULOCK,YONGE STREET & Mulock Drive,44.03569,-79.476063,,
621,RICHMOND HILL CENTRE PLATFORM 6,N UNNAMED ST E & Richmond Hill Centre,43.839811,-79.425487,,
641,YONGE / CLARK,YONGE ST SOUTH & Clark Avenue,43.807342,-79.42256,,
642,YONGE / CENTRE,YONGE ST SOUTH & Centre Street,43.816515,-79.424667,,
644,RICHMOND HILL CENTRE PLATFORM 4,YONGE ST & Richmond Hill Centre,43.840003,-79.42564,,
645,YONGE / BANTRY,YONGE ST W & Bantry-Scott,43.84682,-79.431368,,
646,YONGE / CARRVILLE 16TH,YONGE ST SOUTH & 16th-Carrville,43.853247,-79.43323,,
647,YONGE / WELDRICK,YONGE ST E & Weldrick Road,43.860782,-79.434685,,
649,YONGE / CROSBY,YONGE ST E & Crosby Avenue,43.88046,-79.439272,,
652,YONGE / 19TH,YONGE STREET & 19th-Gamble,43.908087,-79.446,,
663,HWY 7 / KIPLING,HWY 7 & Kipling Avenue,43.778488,-79.597505,,
664,HWY 7 / VAUGHAN CORPORATE CENTRE,HWY 7 & Vaughan Corporate Ctr.,43.791972,-79.530767,,
665,CENTRE / DUFFERIN,DUFFERIN ST & Dufferin Street,43.8058,-79.473362,,
666,BATHURST / ATKINSON,BATHURST ST & BATHURST ST,43.816332,-79.451251,,
667,HWY 7 / BAYVIEW,HWY 7 AVE & Bayview Avenue,43.83995,-79.405518,,
668,ALLSTATE PKWY / HWY 7,E ALLSTATE PARK S & Allstate Parkway,43.848535,-79.363727,,
669,WOODBINE / HWY 7,HWY 7 & Woodbine Avenue,43.850098,-79.357743,,
670,HWY 7 / FAIRBURN,HWY 7 & Montgomery,43.850968,-79.352207,,
672,WARDEN / ENTERPRISE,WARDEN AVE W & Warden Avenue,43.848785,-79.331087,,
673,ENTERPRISE,RIVIS RD & ACCESS WAYS,43.853091,-79.311274,,
674,KENNEDY / HWY 7,HWY 7 & Kennedy Road,43.862165,-79.30362,,
675,HWY 7 / BULLOCK,HWY 7 & Bullock Drive,43.865382,-79.292523,,
676,HWY 7 / MCCOWAN,HWY 7 & McCowan Road,43.86708,-79.285212,,
679,MARKHAM STOUFFVILLE HOSPITAL,,43.884803,-79.232901,,
685,UNIONVILLE GO STN,KENNEDY RD & Unionville GO Station,43.85221,-79.313688,,
688,TOWN CENTRE / CLEGG,TOWN CENTRE BLVD S & Town Centre Blvd.,43.85327,-79.33859,,
